"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2016","10","8","Inglourious Basterds [videorecording] / The Weinstein Company ; a Universal picture ; A Band Apart ; a Zehnte Babelsberg Film GMBH production ; produced by Lawrence Bender ; written and directed by Quentin Tarantino.",,"World War 1939 1945 Participation Jewish Drama, Jews France Drama, World War 1939 1945 France Drama, World War 1939 1945 Women Drama, World War 1939 1945 Motion pictures and the war Drama, World War 1939 1945 Propaganda Drama, Hitler Adolf 1889 1945 Assassination attempts Drama, War films, Action and adventure films, Video recordings for the hearing impaired, Feature films, Fiction films","Universal Studios Home Entertainment,","c2009."
"Physical","Horizon","BOOK","2016","10","3","Kitchens : the smart approach to design / [senior editor, Kathie Robitz].",,"Kitchens Design, Kitchens Remodeling, Kitchens Planning","Creative Homeowner,","c2011."
"Physical","Horizon","BOOK","2016","10","18","Wacky Wednesday, by Theo. LeSieg. Illustrated by George Booth.","LeSieg, Theo., 1904-1991","Counting, Stories in rhyme","Beginner Books,","[1974]"
"Physical","Horizon","BOOK","2016","10","1","Moonsinger's quest / Andre Norton.","Norton, Andre","Telepathy Fiction, Exiles Fiction, Life on other planets Fiction, Science fiction, Fantasy fiction","Baen,","2011."
"Digital","OverDrive","AUDIOBOOK","2016","10","4","The Ultimate Happiness Prescription: 7 Keys to Joy and Enlightenment (unabridged) (Unabridged)","Deepak Chopra","Nonfiction, Religion & Spirituality","Books on Tape","2013"
"Physical","Horizon","BOOK","2016","10","1","Hope : entertainer of the century / Richard Zoglin.","Zoglin, Richard","Hope Bob 1903 2003, Comedians United States Biography","Simon & Schuster,","2014."
"Digital","Hoopla","MUSIC","2016","10","1","Volume 1 (Deluxe Edition)",,"Electronic","Tender Loving Empire",
"Physical","Horizon","BOOK","2016","10","1","Where is the Great Wall? / by Patricia Brennan Demuth ; illustrated by Jerry Hoare.","Demuth, Patricia","Great Wall of China China Juvenile literature, China History Juvenile literature","Grosset & Dunlap, an imprint of Penguin Group,","2015."
"Physical","Horizon","BOOK","2016","10","1","Switched / Sienna Mercer.","Mercer, Sienna","Vampires Juvenile fiction, Sisters Juvenile fiction, Twins Juvenile fiction, Schools Juvenile fiction, Cheerleading Juvenile fiction, Vampires Fiction, Sisters Fiction, Twins Fiction, Schools Fiction, Cheerleading Fiction, Moving Household Fiction","HarperTrophy,","2007."
"Physical","Horizon","BOOK","2016","10","1","Vienna waltz / Teresa Grant.","Grant, Tracy","Vienna Austria Fiction, Historical fiction","Kensington Books,","c2011."
"Physical","Horizon","SOUNDDISC","2016","10","2","Ayó [sound recording] / the Garifuna Collective.","Garifuna Collective","Garifuna Caribbean people Music, Popular music Belize 2011 2020, Folk music Belize, Folk songs Garifuna","Cumbancha,","p2013."
"Physical","Horizon","BOOK","2016","10","6","The snow day / Komako Sakai.","Sakai, Komako, 1966-","Snow Juvenile fiction, Mother and child Juvenile fiction, Rabbits Juvenile fiction","Arthur A. Levine Books,","2009."
"Physical","Horizon","BOOK","2016","10","32","Fairytale magic! / by Kristen L. Depken ; illustrated by Victoria Miller.","Depken, Kristen L.","Dora the Explorer Fictitious character Juvenile fiction, Imaginary places Juvenile fiction, Magic Juvenile fiction","Random House,","[2014]"
"Digital","Hoopla","TELEVISION","2016","10","1","Premiere",,"Sci-Fi & Fantasy","Cinedigm",
"Physical","Horizon","SOUNDDISC","2016","10","3","Symphonies [sound recording] / Mozart.","Mozart, Wolfgang Amadeus, 1756-1791","Symphonies","Archiv Produktion,","p2008."
"Physical","Horizon","BOOK","2016","10","1","Mrs Beeton's book of household management / Mrs. Beeton ; edited with an introduction and notes by Nicola Humble.","Beeton, Mrs. (Isabella Mary), 1836-1865","Home economics","Oxford University Press,","2008, 2000."
"Physical","Horizon","BOOK","2016","10","1","Jeremy Thatcher, dragon hatcher / Bruce Coville ; illustrated by Gary A. Lippincott.","Coville, Bruce","Dragons Juvenile fiction, Friendship Fiction, Pets Fiction, Drawing Juvenile fiction, Size Fiction","Harcourt,","2002."
"Digital","OverDrive","EBOOK","2016","10","1","The Writing on the Wall","Gunnar Staalesen","Fiction, Mystery","Perseus Books Group","2013"
"Digital","OverDrive","AUDIOBOOK","2016","10","5","Illuminae: The Illuminae Files Series, Book 1 (unabridged) (Unabridged)","Amie Kaufman","Science Fiction, Young Adult Fiction","Books on Tape","2016"
"Digital","OverDrive","EBOOK","2016","10","5","Nobody: Casualties of America's War on the Vulnerable, from Ferguson to Flint and Beyond","Marc Lamont Hill","Nonfiction, Politics, Sociology","Simon & Schuster, Inc.","2016"
"Physical","Horizon","BOOK","2016","10","1","The summer of moonlight secrets / Danette Haworth.","Haworth, Danette","Selkies Juvenile fiction, Hotels motels etc Fiction, Families Fiction, Interpersonal relations Juvenile fiction, Florida Juvenile fiction","Walker & Company,","2010."
"Physical","Horizon","BOOK","2016","10","14","How to be a Tudor : a dawn-to-dusk guide to Tudor life / Ruth Goodman.","Goodman, Ruth, 1963-","Great Britain Social life and customs 16th century, Great Britain History Tudors 1485 1603, Great Britain Social conditions 16th century","Liveright Publishing Corporation,","2016."
"Physical","Horizon","BOOK","2016","10","1","The Intrepids. [Vol. 1], ""Mad scientists are a girl's worst enemy"" / Kurtis J. Wiebe, co-creator, writer ; Scott Kowalchuck, co-creator, illustrator ; Donna Gregory w/ Justin Scott, colorist ; Ariana Maher w/ Frank Zigarelli, letterer.","Wiebe, Kurtis J., 1979-","Science fiction comic books strips etc, Comic books strips etc, Graphic novels","Image Comics,","c2011."
"Digital","Freegal","SONG","2016","10","1","Bookends Theme","Simon & Garfunkel",,,
"Digital","OverDrive","EBOOK","2016","10","3","Murder on a Summer's Day: Kate Shackleton Mystery Series, Book 5","Frances Brody","Fiction, Historical Fiction, Mystery","Macmillan Publishers","2016"
"Physical","Horizon","BOOK","2016","10","2","What God said : the 25 core messages of conversations with God that will change your life and the world / Neale Donald Walsch.","Walsch, Neale Donald","God Miscellanea, Spiritual life Miscellanea, Private revelations","Berkley Books,","2013."
"Physical","Horizon","SOUNDDISC","2016","10","3","Violin concerto [sound recording] ; Romance ; Mazurek ; Humoresque / Dvořák.","Dvořák, Antonín, 1841-1904","Concertos Violin, Violin with orchestra, Violin and piano music Arranged","Deutsche Grammophon,","p2013."
"Digital","OverDrive","EBOOK","2016","10","1","Bonsai: A Novel","Alejandro Zambra","Fiction, Literature, Romance","Random House, Inc.","2012"
"Physical","Horizon","BOOK","2016","10","3","Anger : wisdom for cooling the flames / Thích Nhát Hạnh.","Nhất Hạnh, Thích","Spiritual life Buddhism, Anger Religious aspects Buddhism, Compassion Religious aspects Buddhism, Emotions Philosophy","Riverhead Books,","2002, c2001."
"Digital","OverDrive","EBOOK","2016","10","1","La mano de Fátima","Ildefonso Falcones","Fiction, Literature","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2016","10","3","A Rogue's Proposal: Cynster Family Series, Book 4","STEPHANIE LAURENS","Fiction, Historical Fiction, Romance","HarperCollins Publishers Inc.","2005"
"Physical","Horizon","BOOK","2016","10","9","Kung fu panda. Volume 1, Daze of thunder / script, Simon Furman ; art, Zak Simmonds-Hurn.","Furman, Simon","Pandas Comic books strips etc, Kung fu Comic books strips etc, Comics Graphic works, Graphic novels","Titan,","2016."
"Physical","Horizon","BOOK","2016","10","1","Pale Male : citizen hawk of New York City / by Janet Schulman ; illustrated by Meilo So.","Schulman, Janet","Red tailed hawk New York State New York Anecdotes Juvenile literature, Red tailed hawk Juvenile literature","Alfred A. Knopf,","c2008."
"Physical","Horizon","SOUNDDISC","2016","10","2","Jazz for kids [sound recording] : sing, clap, wiggle and shake.",,"Jazz Juvenile sound recordings, Childrens songs Juvenile sound recordings, Songs","Verve,","p2004."
"Digital","OverDrive","EBOOK","2016","10","1","Accused: Pacific Coast Justice Series, Book 1","Janice Cantore","Christian Fiction, Fiction, Romance","Tyndale House Publishers","2014"
