"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2019","1","3","The rise of a legend / Kathryn Lasky.","Lasky, Kathryn","Owls Juvenile fiction","Scholastic Inc.,","2013."
"Digital","OverDrive","EBOOK","2019","1","3","Matty Matheson: A Cookbook","Matty Matheson","Cooking & Food, Nonfiction","ABRAMS","2018"
"Digital","OverDrive","AUDIOBOOK","2019","1","5","Bleachers (Unabridged)","John Grisham","Fiction, Suspense","Books on Tape","2007"
"Digital","OverDrive","EBOOK","2019","1","3","The Silent Governess","Julie Klassen","Fiction, Historical Fiction","Baker Publishing Group","2012"
"Digital","OverDrive","EBOOK","2019","1","43","Sometimes I Lie: A Novel","Alice Feeney","Fiction, Thriller","Macmillan Publishers","2018"
"Physical","Horizon","SOUNDDISC","2019","1","2","Number 1's. '60s pop.",,"Popular music 1961 1970, Rock music 1961 1970","Hip-O,","[2007]"
"Digital","OverDrive","EBOOK","2019","1","7","Thug Kitchen 101: Fast as F*ck","Thug Kitchen","Cooking & Food, Nonfiction","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2019","1","13","Accidental Heroes: A Novel","Danielle Steel","Fiction, Literature, Romance","Random House, Inc.","2018"
"Digital","OverDrive","EBOOK","2019","1","1","The Talk-Funny Girl: A Novel","Roland Merullo","Fiction, Literature","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","1","1","Blue Christmas","Mary Kay Andrews","Fiction","HarperCollins Publishers Inc.","2006"
"Physical","Horizon","BOOK","2019","1","1","The rose / David Austin.","Austin, David, 1926-","Roses, Rose culture","Garden Art,","2009."
"Digital","OverDrive","EBOOK","2019","1","3","Edinburgh","Alexander Chee","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2016"
"Digital","OverDrive","EBOOK","2019","1","1","Maisy Goes to the City","Lucy Cousins","Juvenile Fiction, Juvenile Literature","Candlewick Press","2015"
"Digital","OverDrive","EBOOK","2019","1","2","Slider","Pete Hautman","Humor (Fiction), Juvenile Fiction, Juvenile Literature","Candlewick Press","2017"
"Digital","OverDrive","EBOOK","2019","1","1","Sorceress of Faith","Robin D. Owens","Fantasy, Fiction","Harlequin Enterprises, Ltd.","2011"
"Physical","Horizon","BOOK","2019","1","1","The surprise of Cremona.","Templeton, Edith","Italy Description and travel","Harper,","[1957]"
"Digital","OverDrive","EBOOK","2019","1","20","The Affair: Jack Reacher Series, Book 16","Lee Child","Fiction, Thriller","Random House, Inc.","2011"
"Physical","Horizon","SOUNDDISC","2019","1","3","Number ones / Barry White.","White, Barry, 1944-2003","Popular music","Hip-O Records,","[2009]"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","Long Gone (Unabridged)","Alafair Burke","Fiction, Suspense","HighBridge Company","2011"
"Digital","OverDrive","EBOOK","2019","1","1","Potter's Field","Rob Hart","Fiction, Mystery, Suspense, Thriller","Lightning Source Inc","2018"
"Physical","Horizon","BOOK","2019","1","2","Lucky Alan and other stories / Jonathan Lethem.","Lethem, Jonathan","Short stories","Doubleday,","[2015]"
"Physical","Horizon","BOOK","2019","1","2","ILLM Donor-centered fundraising : how to hold on to your donors and raise much more money",,,,
"Physical","Horizon","BOOK","2019","1","1","Hold your own / Kate Tempest.","Tempest, Kate",,"Bloomsbury,","2015."
"Physical","Horizon","SOUNDDISC","2019","1","1","D-sides / Gorillaz.","Gorillaz (Musical group)","Rock music 2001 2010, Remixes","Virgin,","[2007]"
"Physical","Horizon","SOUNDDISC","2019","1","9","My new moon / Amos Lee.","Lee, Amos","Popular music 2011 2020, Popular music","Dualtone,","[2018]"
"Physical","Horizon","SOUNDDISC","2019","1","1","Opium Moon.","Opium Moon (Musical group)","World music, New Age music","Be Why Music,","[2018]"
"Digital","OverDrive","EBOOK","2019","1","1","Dracula","Bram Stoker","Classic Literature, Horror, Juvenile Fiction","Random House, Inc.","2011"
"Physical","Horizon","BOOK","2019","1","1","Five for sorrow, ten for joy / Rumer Godden.","Godden, Rumer, 1907-1998",,"Viking Press,","[1979]"
"Digital","OverDrive","EBOOK","2019","1","1","Kill Without Shame","Alexandra Ivy","Fiction, Romance, Suspense","Random House, Inc.","2017"
"Digital","OverDrive","VIDEO","2019","1","1","The Havana (El Habano)","Gruppe 5 Filmproduktion","Documentary","Janson Media","2008"
"Digital","OverDrive","EBOOK","2019","1","1","Undead and Underwater","MaryJanice Davidson","Fiction, Literature","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2019","1","2","Island of Icarus","Christine Danse","Fantasy, Fiction, Historical Fiction, Romance","Carina Press","2017"
"Digital","OverDrive","EBOOK","2019","1","1","Middlemarch","George Eliot","Fiction, Historical Fiction, Literature","Random House, Inc.","2010"
"Digital","OverDrive","EBOOK","2019","1","3","Wicked Gentlemen","Ginn Hale","Fantasy, Fiction, Literature","Smashwords, Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","Final Seconds (Unabridged)","John Lutz","Fiction, Mystery","Blackstone Audio, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","1","1","Absinthe of Malice","Rhys Ford","Fiction, Romance, Suspense","Dreamspinner Press","2016"
"Physical","Horizon","SOUNDDISC","2019","1","2","NVM / Tacocat.","Tacocat (Musical Group)","Rock music 2011 2020","Hardly Art,","[2014]"
"Digital","OverDrive","EBOOK","2019","1","1","Phil Hellmuth's Texas Hold'em","Phil Hellmuth, Jr.","Games, Nonfiction","HarperCollins Publishers Inc.","2005"
"Physical","Horizon","BOOK","2019","1","1","The low-down, bad-day blues / by Derrick D. Barnes ; illustrated by Aaron Boyd.","Barnes, Derrick D.","Attitude Psychology Juvenile fiction, African Americans Juvenile fiction, Stories in rhyme Juvenile fiction","Scholastic,","[2004]"
"Physical","Horizon","BOOK","2019","1","5","A conjuring of light / V.E. Schwab.","Schwab, Victoria","Magicians Fiction, Space and time Fiction, Magic Fiction, Quantum theory Fiction, London England Fiction, Fantasy fiction, Science fiction","Tor, a Tom Doherty Associates Book,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2019","1","4","Broken Homes: Rivers of London Series, Book 4 (unabridged) (Unabridged)","Ben Aaronovitch","Fantasy, Fiction","Books on Tape","2014"
"Physical","Horizon","BOOK","2019","1","1","The education of T. C. Mits. / Drawings by Hugh Gray Lieber, words by Lillian R. Lieber.","Lieber, Lillian R. (Lillian Rosanoff), 1886-1986","Mathematics","W. W. Norton & company, inc.,","[1944]"
"Physical","Horizon","BOOK","2019","1","1","Lily Chin's crochet tips & tricks : shortcuts and techniques every crocheter should know / by Lily M. Chin ; illustrations by Lana Le.","Chin, Lily M.","Crocheting","Potter Craft,","[2009]"
"Physical","Horizon","BOOK","2019","1","3","Transit / Rachel Cusk.","Cusk, Rachel, 1967-","English teachers Fiction, Large type books, Psychological fiction","Thorndike Press, a part of Gale, Cengage Learning,","2017."
"Physical","Horizon","BOOK","2019","1","4","Jammie day! / by Carrie Snyder ; illustrated by Brooke Kerrigan.","Snyder, Carrie","Brothers and sisters Juvenile fiction, Pajamas Juvenile fiction, Picture books","Owlkids Books,","2017."
"Digital","OverDrive","EBOOK","2019","1","8","Baby-Led Weaning: The Essential Guide to Introducing Solid Foods and Helping Your Baby to Grow Up a Happy and Confident Eater","Gill Rapley","Family & Relationships, Nonfiction","Workman Publishing","2012"
"Digital","OverDrive","EBOOK","2019","1","4","No Sunscreen for the Dead: A Novel","Tim Dorsey","Fiction, Humor (Fiction), Mystery","HarperCollins Publishers Inc.","2019"
"Physical","Horizon","BOOK","2019","1","1","Man on the run / Carl Weber.","Weber, Carl, 1964-","Escaped prisoners Fiction, Thrillers Fiction","Grand Central Publishing,","2017."
"Physical","Horizon","BOOK","2019","1","1","The interior landscape : classical Tamil love poems / edited and translated from the Tamil by A.K. Ramanujan.",,"Love poetry Tamil Translations into English, Poetry","New York Review Books,","[2013], c1967."
"Digital","OverDrive","AUDIOBOOK","2019","1","10","Not Quite Dead Enough: Nero Wolfe Series, Book 10 (unabridged) (Unabridged)","Rex Stout","Fiction, Mystery","Books on Tape","2012"
"Digital","OverDrive","AUDIOBOOK","2019","1","5","A German Requiem: Bernie Gunther Series, Book 3 (unabridged) (Unabridged)","Philip Kerr","Fiction, Historical Fiction, Mystery","Books on Tape","2008"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","London Fields (Unabridged)","Martin Amis","Fiction, Literature","Blackstone Audio, Inc.","2010"
"Digital","OverDrive","EBOOK","2019","1","4","Golden Hill: A Novel of Old New York","Francis Spufford","Fiction, Historical Fiction, Literature","Simon & Schuster, Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2019","1","5","Bad Little Falls: Mike Bowditch Mystery Series, Book 3 (unabridged) (Unabridged)","Paul Doiron","Fiction, Mystery, Thriller","Macmillan Audio","2013"
"Physical","Horizon","BOOK","2019","1","1","The Christmas story : the brick Bible for kids / Brendan Powell Smith.","Smith, Brendan Powell","Jesus Christ Nativity Juvenile literature, Christmas Juvenile literature, LEGO toys Juvenile literature","Sky Pony Press,","[2012]"
"Physical","Horizon","VIDEODISC","2019","1","123","Life of the party / Warner Bros. Pictures ; New Line Cinema ; On the Day Productions ; written by Melissa McCarthy & Ben Falcone ; produced by Melissa McCarthy, Ben Falcone, Chris Henchy ; directed by Ben Falcone.",,"Mothers and daughters Drama, College students Drama, Adult college students Drama, Feature films, Comedy films, Fiction films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Warner Bros.,","[2018]"
"Digital","OverDrive","EBOOK","2019","1","3","Out of the Deep I Cry: Clare Fergusson and Russ Van Alstyne Mystery Series, Book 3","Julia Spencer-Fleming","Fiction, Mystery","Macmillan Publishers","2013"
"Physical","Horizon","BOOK","2019","1","1","Liliom : a legend in seven scenes and a prologue / by Ferenc Molnar ; English text by Benjamin F. Glazer.","Molnár, Ferenc, 1878-1952",,"S. French,","[1949]"
"Physical","Horizon","BOOK","2019","1","2","The Golden Fleece and the heroes who lived before Achilles / by Padraic Colum ; illustrated by Willy Pogány ; with an introduction by Rick Riordan.","Colum, Padraic, 1881-1972","Argonauts Greek mythology Juvenile literature, Mythology Greek Juvenile literature","Random House,","[2010]"
"Physical","Horizon","BOOK","2019","1","5","I am Benjamin.",,"Rabbits Juvenile fiction, Gardens Juvenile fiction, Friendship Juvenile fiction","Penguin Young Readers, an imprint of Penguin Group (USA) LLC,","[2015]"
"Physical","Horizon","BOOK","2019","1","1","More than this / Patrick Ness.","Ness, Patrick, 1971-","Teenage boys Fiction, Survival Fiction, Families Fiction, Tragedy Fiction, England Fiction, Families Fiction, Survival Fiction, Teenage boys Fiction, England Fiction","Candlewick Press,","2014."
"Digital","OverDrive","EBOOK","2019","1","1","Dirty Blonde","Lisa Scottoline","Fiction, Mystery","HarperCollins Publishers Inc.","2006"
"Physical","Horizon","BOOK","2019","1","2","Chloe on the bright side / Courtney Sheinmel.","Sheinmel, Courtney","Clubs Juvenile fiction, Friendship Juvenile fiction, Kindness Juvenile fiction, Schools Juvenile fiction, Moving Household Juvenile fiction, Divorce Juvenile fiction","Bloomsbury,","[2016]"
"Physical","Horizon","BOOK","2019","1","3","The wind in my hair : my fight for freedom in modern Iran / Masih Alinejad with Kambiz Foroohar.","ʻAlīʹnizhād, Masīḥ, 1976-","Alinizhad Masih 1976, Women journalists Iran Biography, Muslim women Iran Social conditions, Women in Islam Iran, Women Iran Social conditions 21st century, Exiles Iran Biography, Autobiographies","Little Brown and Company/Hachette Book Group,","2018."
"Physical","Horizon","BOOK","2019","1","5","You and me, me and you : brothers / Miguel Tanco.","Tanco, Miguel, 1972-","Brothers Juvenile fiction, Picture books","Chronicle Books LLC,","[2018]"
"Physical","Horizon","BOOK","2019","1","1","Lips touch : three times / Laini Taylor ; with illustrations by Jim Di Bartolo.","Taylor, Laini","Kissing Juvenile fiction, Short stories, Paranormal fiction","Arthur A. Levine Books,","2009."
"Physical","Horizon","BOOK","2019","1","1","Giuliano Bugialli's foods of Naples and campania / [Giuliano Bugialli] ; photographs by Andy Ryan.","Bugialli, Giuliano","Cooking Italian, Cooking Italy Naples","Stewart, Tabori & Chang,","[2003]"
"Physical","Horizon","VIDEODISC","2019","1","1","This sporting life / Janus Films ; Granada International ; Rank Organisation ; Independent Artists ; a Julian Wintle and Leslie Parkyn production ; produced by Karel Reisz ; screenplay by David Storey ; directed by Lindsay Anderson.",,"Rugby League football players England Yorkshire Drama, Working class men Psychology Drama, Widows Drama, Coal miners Drama, Social classes Great Britain Drama, Ambition Drama, Sports Drama, Man woman relationships Drama, Feature films, Sports films, Fiction films, Video recordings for the hearing impaired","Criterion Collection,","[2008]"
"Digital","OverDrive","EBOOK","2019","1","2","The Other Girl: A Novel","Erica Spindler","Fiction, Literature, Suspense, Thriller","Macmillan Publishers","2017"
"Digital","OverDrive","EBOOK","2019","1","9","The Player of Games: Culture Series, Book 2","Iain M. Banks","Fiction, Science Fiction","Hachette Digital, Inc.","2009"
"Digital","OverDrive","AUDIOBOOK","2019","1","5","After the Monsoon: An Ernst Grip Novel (unabridged) (Unabridged)","Robert Karjel","Fiction, Mystery, Suspense, Thriller","HarperCollins Publishers Inc.","2018"
"Physical","Horizon","BOOK","2019","1","1","Cake time : a novel-in-stories / Siel Ju.","Ju, Siel","Women Fiction, Korean Americans Fiction, Sex Fiction, Man woman relationships Fiction, Los Angeles Calif Fiction, Short stories","Red Hen Press,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","The Singapore Wink (Unabridged)","Ross Thomas","Fiction, Mystery","HighBridge Company","2013"
"Physical","Horizon","BOOK","2019","1","37","Pete the Cat and the surprise teacher / by James Dean.","Dean, James, 1957-","Pete the Cat Fictitious character Juvenile fiction, Cats Juvenile fiction, Schools Juvenile fiction, Teachers Juvenile fiction, Mothers and sons Juvenile fiction","Harper, an imprint of HarperCollinsPublishers,","[2017]"
"Physical","Horizon","SOUNDDISC","2019","1","2","Every heart a doorway / Seanan McGuire.","McGuire, Seanan","Children Institutional care Fiction, Magic Fiction, Schools Fiction, Fantasy fiction, Audiobooks","Macmillan Audio,","[2016]"
"Physical","Horizon","BOOK","2019","1","2","Lives of the scientists : experiments, explosions (and what the neighbors thought) / written by Kathleen Krull ; illustrated by Kathryn Hewitt.","Krull, Kathleen","Scientists Biography Juvenile literature, Science History Juvenile literature, Scientists Juvenile literature","Harcourt Children's Books,","2013."
"Digital","OverDrive","AUDIOBOOK","2019","1","2","The Reluctant Mr. Darwin: An Intimate Portrait of Charles Darwin and the Making of His Theory of  Evolution (unabridged) (Unabridged)","David Quammen","Nonfiction","Blackstone Audio, Inc.","2007"
"Physical","Horizon","BOOK","2019","1","1","Go for the goal : a champion's guide to winning in soccer and life / Mia Hamm with Aaron Heifetz.","Hamm, Mia, 1972-","Hamm Mia 1972, Soccer Training, Soccer Psychological aspects, Success","Quill,","2000."
"Physical","Horizon","BOOK","2019","1","16","Margret & H.A. Rey's Curious George and the pizza party / written by Cynthia Platt ; illustrated in the style of H.A. Rey by Mary O'Keefe Young.","Platt, Cynthia","Curious George Fictitious character Juvenile fiction, Monkeys Juvenile fiction, Pizza Juvenile fiction, Parties Fiction","Houghton Mifflin Harcourt,","[2010]"
"Physical","Horizon","BOOK","2019","1","1","Allen & Mike's avalanche book : a guide to staying safe in avalanche terrain / Allen O'Bannon ; illustrated by Mike Clelland.","O'Bannon, Allen","Skis and skiing Safety measures, Avalanches Safety measures","FalconGuides,","[2012]"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","It's the First Day of School...Forever! (Unabridged)","R. L. Stine","Horror, Humor (Fiction), Juvenile Fiction, Juvenile Literature","Macmillan Audio","2011"
"Physical","Horizon","BOOK","2019","1","1","Fire bringer / David Clement-Davies.","Clement-Davies, David, 1961-","Deer Fiction, Scotland Fiction, Young adult fiction, Adventure fiction, Fantasy fiction","Firebird,","2007."
"Physical","Horizon","BOOK","2019","1","2","I am cute dresses : 25 simple designs to sew / Sato Watanabe ; [translated by Asako Ohashi].","Watanabe, Sato","Dresses, Sewing, Dressmaking","Interweave Press LLC,","2011."
"Physical","Horizon","BOOK","2019","1","2","Alice in the country of hearts : my fanatic rabbit. 1 / story by QuinRose ; art by Delico Psyche ; scenario by Owl Shinotsuki ; [translation, Ajino Hirami ; lettering, Keiran O'Leary].","QuinRose (Firm)","Alice Fictitious character from Carroll Comic books strips etc, Imaginary places Comic books strips etc, Fantasy comics, Graphic novels","Yen Press,","2012."
"Physical","Horizon","BOOK","2019","1","3","Chi gua shi dai de er nü men / Liu Zhenyun, zhu.","Liu, Zhenyun","Chinese fiction 21st century","Chang Jiang wen yi chu ban she,","2017."
"Digital","OverDrive","AUDIOBOOK","2019","1","1","Diary of a Spider (Unabridged)","Doreen Cronin","Humor (Fiction), Juvenile Fiction","Live Oak Media","2014"
"Physical","Horizon","BOOK","2019","1","1","Joshua Tree : the complete guide / [written & photographed by] James Kaiser.","Kaiser, James, 1977-","California Guidebooks, Joshua Tree National Park Calif Guidebooks","Destination Press,","[2016]"
"Digital","OverDrive","EBOOK","2019","1","3","A Foreign Country: Thomas Kell Series, Book 1","Charles Cumming","Fiction, Thriller","Macmillan Publishers","2013"
"Physical","Horizon","VIDEODISC","2019","1","3","Sakasama no Patema = Patema inverted / Asmik Ace ; Good Smile Company ; Kadokawa ; Directions ; producer, Mikio Ono ; written and directed by Yasuhiro Yoshiura.",,"Princesses Drama, Gravity Drama, Anime, Feature films, Science fiction films, Fiction films, Motion pictures Japanese, Video recordings for the hearing impaired","[Publisher not identified],","[2014]"
"Digital","OverDrive","EBOOK","2019","1","1","One Minute to Midnight","Michael Dobbs","History, Military, Nonfiction, Politics","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2019","1","6","Change Your Brain, Change Your Life (Revised and Expanded): The Breakthrough Program for Conquering Anxiety, Depression, Obsessiveness, Lack of Focus, Anger, and Memory Problems","Daniel G. Amen, M.D.","Nonfiction, Psychology, Self Help","Random House, Inc.","2015"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","Tracking the Wild Coomba: The Life of Legendary Skier Doug Coombs (unabridged) (Unabridged)","Robert Cocuzzo","Biography & Autobiography, Nonfiction, Sports & Recreations","Blackstone Audio, Inc.","2017"
"Physical","Horizon","BOOK","2019","1","3","American lion : Andrew Jackson in the White House / Jon Meacham.","Meacham, Jon","Jackson Andrew 1767 1845, Jackson Andrew 1767 1845 Family, Jackson Andrew 1767 1845 Friends and associates, Presidents United States Biography, United States Politics and government 1829 1837","Random House,","[2008]"
"Physical","Horizon","BOOK","2019","1","17","The Guernsey Literary and Potato Peel Pie Society / Mary Ann Shaffer & Annie Barrows.","Shaffer, Mary Ann","Women authors Fiction, Book clubs Discussion groups Fiction, London England History 20th century Fiction, Channel Islands History German occupation 1940 1945 Fiction, Guernsey Fiction, England Fiction, Epistolary fiction","Dial Press Trade Paperbacks,","2009."
"Digital","OverDrive","EBOOK","2019","1","2","Wake the Devil: A Thriller","Robert Daniels","Fiction, Mystery, Thriller","Lightning Source Inc","2016"
"Physical","Horizon","BOOK","2019","1","1","Thomas Heatherwick : making / written by Thomas Heatherwick and Maisie Rowe.","Heatherwick, Thomas","Heatherwick Thomas Themes motives, Architects Great Britain, Designers Great Britain","The Monacelli Press,","2012."
"Physical","Horizon","BOOK","2019","1","3","Southern discomfort : a memoir / Tena Clark.","Clark, Tena","Clark Tena, African Americans Mississippi Biography, Mississippi Race relations History, Mississippi Biography, Autobiographies","Touchstone,","2018."
"Physical","Horizon","SOUNDDISC","2019","1","2","It's okay to laugh : (crying is cool too) : [a memoir] / written by Nora McInerny Purmort.","Purmort, Nora McInerny","Purmort Aaron 2014, Purmort Nora McInerny, Brain Cancer Patients United States Biography, Brain Cancer Patients Family relationships United States, Couples, Biographies, Audiobooks","Harper Audio,","[2016]"
"Digital","OverDrive","EBOOK","2019","1","1","Clearing Clutter: Physical, Mental, and Spiritual","Alexandra Chauran","New Age, Nonfiction","Llewellyn Publications","2015"
"Physical","Horizon","BOOK","2019","1","2","The low-carb fraud / T. Colin Campbell ; with Howard Jacobson.","Campbell, T. Colin, 1934-","Low carbohydrate diet, Nutrition, Prehistoric peoples Food","BenBella Books, Inc.,","c2014."
"Physical","Horizon","BOOK","2019","1","2","Change your schedule, change your life : how to harness the power of clock genes to lose weight, optimize your workout, and finally get a good night's sleep / Dr. Suhas Kshirsagar with Michelle D. Seaton ; foreword by Deepak Chopra, MD.","Kshirsagar, Suhas G.","Circadian rhythms Health aspects Popular works, Medicine Ayurvedic, Health behavior","Harper Wave,","[2018]"
"Physical","Horizon","BOOK","2019","1","1","The jet sex : airline stewardesses and the making of an American icon / Victoria Vantoch.","Vantoch, Vicki","Flight attendants United States History 20th century","University of Pennsylvania Press,","[2013]"
"Digital","OverDrive","EBOOK","2019","1","2","Dumpling Days: Pacy Lin Series, Book 3","Grace Lin","Juvenile Fiction, Juvenile Literature","Hachette Digital, Inc.","2018"
"Physical","Horizon","BOOK","2019","1","2","Bei ying / Liang Haiyun, Tong Yuezhou, Zhou Ziye, zhu ; Lin Wende, feng mian hui tu.","Liang, Haiyun.","Childrens stories Chinese, Picture books for children, Chinese language materials","Shanghai ke xue ji shu wen xian chu ban she,","2016."
"Physical","Horizon","VIDEODISC","2019","1","5","Out-of-towners / Paramount Pictures Corp. ; Jalem Productions, Inc. ; producer, Paul Nathan ; writer, Neil Simon ; director, Arthur Hiller.",,"Travel Drama, Spouses Ohio Drama, New York N Y Drama, Comedy films, Feature films, Video recordings for the hearing impaired","Paramount Home Entertainment,","[2003]"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","Hogs Wild: Selected Reporting Pieces (unabridged) (Unabridged)","Ian Frazier","Essays, Literary Criticism, Nonfiction, Sociology","Macmillan Audio","2016"
"Digital","OverDrive","EBOOK","2019","1","17","In Extremis: The Life and Death of the War Correspondent Marie Colvin","Lindsey Hilsum","Biography & Autobiography, Military, Nonfiction","Macmillan Publishers","2018"
"Digital","OverDrive","EBOOK","2019","1","4","Quarterback: Inside the Most Important Position in the National Football League","John Feinstein","Nonfiction, Sports & Recreations","Random House, Inc.","2018"
"Physical","Horizon","BOOK","2019","1","2","I am the dog / by Daniel Pinkwater ; illustrated by Jack E. Davis.","Pinkwater, Daniel Manus, 1941-","Dogs Fiction","Harper,","2010."
