"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2019","1","1","Dog Diaries #6: Sweetie","Kate Klimo","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","2","1","Delicious","Lori Foster","Fiction, Literature, Romance, Short Stories","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2019","2","2","A Journal of the Plague Year","Daniel Defoe","Fiction, Literature","ePenguin","2011"
"Digital","OverDrive","EBOOK","2019","3","2","The Cocoa Conspiracy","Andrea Penrose","Fiction, Mystery","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","VIDEODISC","2019","3","2","India / Pilot Film and TV Productions.",,"India Description and travel","Escapi,","[2003]"
"Digital","OverDrive","EBOOK","2019","3","2","Presumed Guilty","Tess Gerritsen","Fiction, Romance","Harlequin Enterprises, Ltd.","2014"
"Digital","OverDrive","AUDIOBOOK","2019","4","4","The Testament of Mary (Unabridged)","Colm Toibin","Fiction, Literature","Recorded Books, LLC","2015"
"Digital","OverDrive","AUDIOBOOK","2019","4","7","Hippie (Unabridged)","Paulo Coelho","Fiction, Literature","Books on Tape","2018"
"Digital","OverDrive","EBOOK","2019","4","14","Six Wakes","Mur Lafferty","Fiction, Science Fiction, Thriller","Hachette Digital, Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2019","4","1","Aquarium (Unabridged)","David Vann","Fiction, Literature","Blackstone Audio, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","4","1","Wolves in the Land of Salmon","David Moskowitz","Nature, Nonfiction","Workman Publishing","2014"
"Digital","OverDrive","EBOOK","2019","4","4","Please Look After Mom","Kyung-Sook Shin","Fiction, Literature","Random House, Inc.","2011"
"Physical","Horizon","BOOK","2019","6","4","Elephants / by Kate Riggs.","Riggs, Kate","Elephants Juvenile literature","Creative Education,","[2011]"
"Digital","OverDrive","EBOOK","2019","7","3","American Tropic","Thomas Sanchez","Fiction, Literature, Suspense","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2019","8","10","The Crowded Grave: Bruno, Chief of Police Series, Book 4","Martin Walker","Fiction, Mystery","Random House, Inc.","2012"
"Physical","Horizon","BOOK","2019","8","1","How to draw vintage fashion / Celia Joicey & Dennis Nothdruft.","Joicey, Celia","Fashion drawing, Vintage clothing","Thames & Hudson,","2014."
"Physical","Horizon","BOOK","2019","8","2","The odd 1s out : how to be cool and other things I definitely learned from growing up / James Rallison.","Rallison, James","Conduct of life, Self realization, Adulthood","TarcherPerigee,","[2018]"
"Digital","OverDrive","EBOOK","2019","1","1","A Kingdom Rises","J. D. Rinehart","Juvenile Fiction, Juvenile Literature","Simon & Schuster, Inc.","2017"
"Physical","Horizon","BOOK","2019","1","10","The I love you book / Todd Parr.","Parr, Todd","Love Fiction","Little, Brown and Company,","2009."
"Digital","OverDrive","EBOOK","2019","1","2","The Changeling","Joy Williams","Fantasy, Fiction, Literature, Mythology","W. W. Norton & Company","2018"
"Digital","OverDrive","EBOOK","2019","1","2","Pocket London Travel Guide","Lonely Planet","Nonfiction, Travel","Lonely Planet Pty, Ltd","2012"
"Digital","OverDrive","EBOOK","2019","1","3","The Hitchhiker's Guide to the Galaxy","Douglas Adams","Fiction, Science Fiction","RosettaBooks","2005"
"Physical","Horizon","BOOK","2019","1","1","Astronomy / by Stephen P. Maran, PhD.","Maran, Stephen P.","Astronomy","John Wiley & Sons, Inc.,","[2017]"
"Digital","OverDrive","EBOOK","2019","1","2","Flipped","Wendelin Van Draanen","Humor (Fiction), Young Adult Fiction","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","1","1","Lord of Darkness","Robert Silverberg","Fiction, Historical Fiction","Independent Publishers Group","2014"
"Digital","OverDrive","EBOOK","2019","1","1","The Panopticon: A Novel","Jenni Fagan","Fiction, Literature","Random House, Inc.","2013"
"Physical","Horizon","BOOK","2019","1","5","Oaxaca / Justin Henderson.","Henderson, Justin","Oaxaca Mexico State Guidebooks","Avalon Travel,","[2015]"
"Digital","OverDrive","AUDIOBOOK","2019","1","1","The Joy of Selling (Unabridged)","Steve Chandler","Business, Nonfiction","HighBridge Company","2007"
"Physical","Horizon","BOOK","2019","1","1","How to think more about sex / Alain de Botton.","De Botton, Alain","Sex","Picador,","[2012]"
"Digital","OverDrive","EBOOK","2019","1","5","The Heart: A Novel","Maylis de Kerangal","Fiction, Literature","Macmillan Publishers","2016"
"Digital","OverDrive","EBOOK","2019","1","1","The Tenth Circle: A Novel","Jodi Picoult","Fiction, Literature","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2019","1","8","The Wright Brothers","David McCullough","History, Nonfiction, Technology","Simon & Schuster, Inc.","2015"
"Physical","Horizon","BOOK","2019","1","1","Even the stars look lonesome / by Maya Angelou.","Angelou, Maya",,"Random House,","1997."
"Digital","OverDrive","EBOOK","2019","1","79","Anything Is Possible: A Novel","Elizabeth Strout","Fiction, Literature","Random House, Inc.","2017"
"Digital","OverDrive","EBOOK","2019","1","28","Freshwater","Akwaeke Emezi","Fiction, Literature","Lightning Source Inc","2018"
"Digital","OverDrive","EBOOK","2019","1","1","McKettrick's Pride","Linda Lael Miller","Fiction, Romance","Harlequin Enterprises, Ltd.","2009"
