"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","SOUNDDISC","2011","1","1","Rosenkavalier",,,,
"Digital","Freegal","SONG","2011","7","1","Close Enough To Perfect","Alabama",,,
"Physical","Horizon","BOOK","2011","6","1","Set in stone",,"Family problems Fiction, Secrets Fiction, Identity Fiction, Incest Fiction, Great Britain History Victoria 1837 1901 Fiction",,
"Digital","Freegal","SONG","2011","1","1","Your Love (Acoustic)","The Outfield",,,
"Physical","Horizon","SOUNDDISC","2011","1","1","Last date",,"Jazz 1961 1970",,
"Digital","Freegal","SONG","2011","1","1","The Blue Mask","Lou Reed",,,
"Physical","Horizon","BOOK","2011","1","1","fortress of glass",,"Fantasy fiction",,
"Physical","Horizon","SOUNDDISC","2011","1","1","Cinco diablo",,"Rock music 2001 2010",,
"Physical","Horizon","BOOK","2011","1","2","Margin of error",,,,
"Digital","Freegal","SONG","2011","1","1","Vein Melter","Herbie Hancock",,,
"Physical","Horizon","SOUNDDISC","2011","1","5","Abacab",,"Rock music 1981 1990",,
"Digital","Freegal","SONG","2011","1","1","Comme Des Freres","Kyo",,,
"Digital","Freegal","SONG","2011","1","4","Please Don't Leave Me","P!nk",,,
"Digital","Freegal","SONG","2011","1","2","Survivor","Destiny's Child",,,
"Digital","Freegal","SONG","2011","1","1","Love Is Blind","Alicia Keys",,,
"Digital","Freegal","SONG","2011","1","1","Sketches Of Topanga","Snuffy",,,
"Physical","Horizon","SOUNDDISC","2011","1","4","White pony",,"Rock music 1991 2000",,
"Physical","Horizon","SOUNDDISC","2011","1","5","That 70s album Rockin",,"Rock music 1971 1980",,
"Physical","Horizon","SOUNDDISC","2011","1","1","<Unknown Title>",,"Lute music, Suites Lute",,
"Physical","Horizon","BOOK","2011","1","3","Lateral thinking creativity step by step",,"Creative thinking",,
"Digital","Freegal","SONG","2011","1","4","Alone (Glee Cast Version feat. Kristin Chenoweth)","Glee Cast",,,
"Physical","Horizon","SOUNDDISC","2011","1","2","Vagabond ways",,"Popular music 1991 2000",,
"Digital","Freegal","SONG","2011","1","1","The Magnificent Five","Adam & The Ants",,,
"Digital","Freegal","SONG","2011","1","1","Violin Huapango","Mariachi Vargas De Tecalitlan",,,
"Physical","Horizon","BOOK","2011","1","1","National Trust guide to Savannah",,"Savannah Ga Guidebooks",,
"Physical","Horizon","BOOK","2011","1","1","Dream a little dream",,"Large type books",,
"Digital","Freegal","SONG","2011","1","2","Positively 4th Street","Bob Dylan",,,
"Physical","Horizon","VIDEODISC","2011","1","11","Pale Horse",,"Mystery television programs",,
"Physical","Horizon","SOUNDDISC","2011","1","2","On the other side of dub",,"Reggae music",,
"Digital","Freegal","SONG","2011","1","1","Ti Ricordo Col Bikini","Gianni Morandi",,,
"Digital","Freegal","SONG","2011","1","1","King Of The Zulus","Louis Armstrong The Hot Fives",,,
