"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","Freegal","SONG","2014","1","1","Shock Me Into Love","Lenka",,,
"Digital","Freegal","SONG","2014","1","1","?","OutKast",,,
"Digital","Zinio","MAGAZINE","2014","1","86","Dwell",,,,
"Digital","Freegal","SONG","2014","1","1","It So Eazy","A$ap Rocky",,,
"Physical","Horizon","SOUNDDISC","2014","1","2","Skin and bones",,"Rock music 2001 2010",,
"Digital","Hoopla","MUSIC","2014","1","1","American Recordings",,"Country","American Recordings",
"Digital","Freegal","SONG","2014","1","1","If You Never","Byron featuring Burrell, Kim & Moss, J Cage",,,
"Physical","Horizon","BOOK","2014","1","1","Inventions",,"Inventions Juvenile literature, Inventions",,
"Physical","Horizon","BOOK","2014","1","4","Discover Great Britain",,"Great Britain Guidebooks",,
"Digital","Freegal","SONG","2014","1","6","Devil's Backbone","The Civil Wars",,,
"Digital","Freegal","SONG","2014","1","1","Silent Night","Sarah McLachlan",,,
"Physical","Horizon","BOOK","2014","1","2","Else Marie and her seven little daddies",,"Fathers Fiction",,
"Physical","Horizon","MIXED","2014","1","1","Tonight Show Band with Doc Severinsen",,"Big band music",,
"Physical","Horizon","BOOK","2014","1","2","Rick Steves Venice",,"Venice Italy Guidebooks",,
"Physical","Horizon","BOOK","2014","1","1","Night Dawn Day",,"Wiesel Elie 1928 Translations into English",,
"Digital","Freegal","SONG","2014","1","1","Crazy Old Soldier","Johnny Cash;Ray Charles",,,
"Physical","Horizon","BOOK","2014","1","6","rough guide to Guatemala",,"Guatemala Guidebooks",,
"Digital","Freegal","SONG","2014","1","1","Meet Me In The Bathroom","The Strokes",,,
"Digital","Freegal","SONG","2014","1","1","Cheap Day Return","Jethro Tull",,,
"Digital","Freegal","SONG","2014","1","1","Last Chance (Make Your Move)","Scott Amendola Band",,,
"Physical","Horizon","BOOK","2014","1","3","Cleaning plain simple",,"House cleaning",,
"Digital","Freegal","SONG","2014","1","1","Angel From Montgomery","Old Crow Medicine Show",,,
"Digital","Freegal","SONG","2014","1","2","Waka Waka (Esto Es Africa)","Shakira",,,
"Physical","Horizon","SOUNDDISC","2014","1","1","Manna",,"Popular music 1971 1980, Rock music 1971 1980",,
"Digital","Freegal","SONG","2014","1","2","Jumpin' at the Woodside","Buddy Rich",,,
"Digital","Freegal","SONG","2014","1","1","My Baby is Sweeter","Roy Buchanan",,,
"Digital","Freegal","SONG","2014","1","1","We'll Sing In The Sunshine","Gale Garnett",,,
"Digital","Freegal","SONG","2014","1","2","Tank Park Salute","Billy Bragg",,,
"Physical","Horizon","SOUNDDISC","2014","1","1","Classics",,"Jazz vocals, Jazz 1981 1990",,
"Digital","Freegal","SONG","2014","1","1","Dusk","Jah Wobble",,,
"Digital","Freegal","SONG","2014","1","1","Falsa Y Mancornadora","Steve Jordan",,,
"Digital","Freegal","SONG","2014","1","1","Land of the Upright Ones","Heaven Shall Burn",,,
"Digital","Freegal","SONG","2014","1","1","Brians Magic Car","Television Personalities",,,
"Digital","Freegal","SONG","2014","1","1","Love Life","Alcazar",,,
"Physical","Horizon","BOOK","2014","1","57","Uncataloged Folder or Bag--LCY",,,,
"Physical","Horizon","BOOK","2014","1","1","Putting your passion into print",,"Authorship Marketing",,
"Digital","Freegal","SONG","2014","1","1","Chuaigh me 'na Rosann","Clannad",,,
"Digital","Freegal","SONG","2014","1","1","Omen","The Prodigy",,,
"Digital","Freegal","SONG","2014","1","1","Saferwaters","Chevelle",,,
"Digital","Freegal","SONG","2014","1","1","-","Oberhofer",,,
"Digital","Freegal","SONG","2014","1","1","Shopping For Blood","Franz Ferdinand",,,
"Physical","Horizon","SOUNDDISC","2014","1","1","best of the Nat King Cole Trio",,"Jazz 1941 1950, Piano music Jazz",,
"Digital","Freegal","SONG","2014","1","1","Tearing and Breaking","Phil Collins",,,
"Digital","Freegal","SONG","2014","1","1","T-Bone","James Taylor",,,
"Physical","Horizon","SOUNDDISC","2014","1","2","Uncle Jam wants you",,"Funk Music, Rock music 1971 1980",,
"Physical","Horizon","BOOK","2014","1","1","worry cure seven steps to stop worry from stopping you",,"Worry",,
"Digital","Freegal","SONG","2014","1","1","Moon River","Patti Page",,,
"Digital","OverDrive","EBOOK","2014","1","1","Wonderland","Joyce Carol Oates","Fiction, Literature","Random House, Inc.","2012"
"Digital","Freegal","SONG","2014","1","1","Gina","Johnny Mathis",,,
"Digital","Freegal","SONG","2014","1","1","Airwolf","TV Theme Players",,,
"Digital","Freegal","SONG","2014","1","1","Wild Thing","The Jimi Hendrix Experience",,,
"Digital","OverDrive","EBOOK","2014","1","1","Science, Grade 3","Spectrum","Juvenile Nonfiction, Science","Carson-Dellosa Publishing","2013"
"Physical","Horizon","BOOK","2014","1","1","cat astrophe",,"Best friends Fiction, Witches Fiction, Magic Fiction",,
"Physical","Horizon","SOUNDDISC","2014","1","1","Return to spiritlands",,"New Age music, Indians of North America Music",,
"Physical","Horizon","BOOK","2014","1","1","worlds of Robert F Young sixteen stories of science fiction and fantasy",,,,
"Physical","Horizon","SOUNDDISC","2014","1","2","Brian Jones presents The pipes of Pan at Jajouka",,"Music Morocco",,
"Digital","Freegal","SONG","2014","1","1","Almost Paradise (Love Theme ""Footloose"")","Mike Reno feat. Ann Wilson",,,
"Physical","Horizon","BOOK","2014","1","1","Tilly wed / a novel by Catherine Cookson.","Cookson, Catherine",,"Morrow,","1981."
"Digital","Freegal","SONG","2014","1","1","Etude in C minor, Op. 10. No. 12: Allegro con fuoco","Vladimir Horowitz",,,
"Digital","OverDrive","EBOOK","2014","1","2","Tricky Business","Dave Barry","Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2014","1","3","Mindfulness in Plain English","Henepola Gunaratana","New Age, Nonfiction","Simon & Schuster, Inc.","2010"
"Digital","Freegal","SONG","2014","1","1","Gesang Der Parzen, Op. 89","NBC Symphony Orchestra",,,
