,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
8828,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Care and Feeding of an Alpha Male: Bluebonnet Series, Book 2 (unabridged) (Unabridged)",Jessica Clare,"Fiction, Romance","Tantor Media, Inc",2015
8890,Digital,OverDrive,AUDIOBOOK,2018,1,1,"An American Family Shakespeare Entertainment, Volume 2: Based on Charles & Mary Lambs Tales from Shakespeare, With Scenes, Soliloquies and Music from Shakespeare's Plays (unabridged) (Unabridged)",Stefan Rudnicki,"Classic Literature, Fiction","Blackstone Audio, Inc.",2008
8893,Digital,OverDrive,AUDIOBOOK,2018,1,2,Nelson Mandela: Le Rodigieux Destin D'un Humaniste (unabridged) (Unabridged),Nelson Mandela,"Biography & Autobiography, Nonfiction",Ao Vivo Production,2017
8905,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Year of Lear: Shakespeare in 1606 (unabridged) (Unabridged),James Shapiro,"Biography & Autobiography, Nonfiction","Tantor Media, Inc",2016
8906,Digital,OverDrive,AUDIOBOOK,2018,1,4,Reasons to Stay Alive (Unabridged),Matt Haig,"Nonfiction, Self-Improvement",CSA Word,2016
8911,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Thicket (Unabridged),Joe R. Lansdale,"Fiction, Mystery, Thriller","Blackstone Audio, Inc.",2013
8929,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Bottom of Your Heart: Commissario Ricciardi Series, Book 7 (unabridged) (Unabridged)",Maurizio de Giovanni,"Fiction, Mystery","Blackstone Audio, Inc.",2015
8968,Digital,OverDrive,AUDIOBOOK,2018,1,1,Each Day Dies With Sleep (Unabridged),Jose Rivera,"Drama, Fiction",L.A. Theatre Works,2009
8971,Digital,OverDrive,AUDIOBOOK,2018,1,12,"Gilead: Gilead Series, Book 1 (unabridged) (Unabridged)",Marilynne Robinson,"Fiction, Historical Fiction, Literature",Macmillan Audio,2014
8989,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Convergence: The Zodiac Legacy Series, Book 1 (unabridged) (Unabridged)",Disney Press,"Juvenile Fiction, Mythology, Thriller","Blackstone Audio, Inc.",2015
8990,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Mark of the Plague: The Blackthorn Key Series, Book 2 (unabridged) (Unabridged)",Kevin Sands,"Fantasy, Historical Fiction, Juvenile Fiction, Mystery",Simon & Schuster - All Library,2016
9001,Digital,OverDrive,AUDIOBOOK,2018,1,5,"The Penderwicks on Gardam Street: The Penderwicks Series, Book 2 (unabridged) (Unabridged)",Jeanne Birdsall,"Juvenile Fiction, Juvenile Literature",Books on Tape,2008
9008,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Dig If You Will the Picture: Funk, Sex, God and Genius in the Music of Prince (unabridged) (Unabridged)",Ben Greenman,"Biography & Autobiography, Nonfiction, Performing Arts","Tantor Media, Inc",2017
9014,Digital,OverDrive,AUDIOBOOK,2018,1,4,Assignment in Eternity (Unabridged),Robert A. Heinlein,"Fiction, Science Fiction","Blackstone Audio, Inc.",2013
9017,Digital,OverDrive,AUDIOBOOK,2018,1,15,The Boston Girl: A Novel (unabridged) (Unabridged),Anita Diamant,"Fiction, Historical Fiction, Literature",Simon & Schuster - All Library,2014
9021,Digital,OverDrive,AUDIOBOOK,2018,1,1,John (Unabridged),Cynthia Lennon,"Biography & Autobiography, Nonfiction",Books on Tape,2008
9044,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Killing Trail: Timber Creek K-9 Mystery Series, Book 1 (unabridged) (Unabridged)",Margaret Mizushima,"Fiction, Mystery","Blackstone Audio, Inc.",2016
9055,Digital,OverDrive,AUDIOBOOK,2018,1,3,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days! (unabridged) (Unabridged),JJ Smith,"Health & Fitness, Nonfiction",Simon & Schuster - All Library,2017
9068,Digital,OverDrive,AUDIOBOOK,2018,1,3,Soulmates: A Novel (unabridged) (Unabridged),Jessica Grose,"Fiction, Literature, Suspense, Thriller",HarperCollins Publishers Inc.,2016
9070,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ferals: Ferals Series, Book 1 (unabridged) (Unabridged)",Jacob Grey,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
9073,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Billionaire Takes a Bride: Billionaires and Bridesmaids Series, Book 3 (unabridged) (Unabridged)",Jessica Clare,"Fiction, Literature","Tantor Media, Inc",2016
9080,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Tempest (Unabridged),William Shakespeare,"Drama, Fiction","Naxos of America, Inc.",2005
9091,Digital,OverDrive,AUDIOBOOK,2018,1,1,True Believer: Stalin's Last American Spy (unabridged) (Unabridged),Kati Marton,"Biography & Autobiography, History, Nonfiction, Politics",Simon & Schuster - All Library,2016
9128,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Bluest Eye (Unabridged),Toni Morrison,"Fiction, Literature",Books on Tape,2011
9181,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Caps For Sale: The Tale of a Peddler, Some Monkeys and Their Monkey Business (unabridged) (Unabridged)",Esphyr Slobodkina,"Juvenile Fiction, Juvenile Literature",Live Oak Media,2013
9190,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Mongrel Mage: Saga of Recluce Series, Book 19 (unabridged) (Unabridged)","L. E. Modesitt, Jr.","Fantasy, Fiction","Tantor Media, Inc",2017
9194,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Caveat Emptor: Medicus Investigation Series, Book 4 (unabridged) (Unabridged)",Ruth Downie,"Fiction, Historical Fiction, Literature","Tantor Media, Inc",2014
9199,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Experience on Demand: What Virtual Reality Is, How It Works, and What It Can Do (unabridged) (Unabridged)",Jeremy Bailenson,"Computer Technology, Nonfiction, Technology","Blackstone Audio, Inc.",2018
9201,Digital,OverDrive,AUDIOBOOK,2018,1,3,How Dare the Sun Rise: Memoirs of a War Child (unabridged) (Unabridged),Sandra Uwiringiyimana,"Sociology, Young Adult Nonfiction",HarperCollins Publishers Inc.,2017
