,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,creator,subjects,publisher,publicationyear
9,Digital,OverDrive,AUDIOBOOK,2018,2,1,Cleopatra (Unabridged),H. Rider Haggard,"Fiction, Literature","Blackstone Audio, Inc.",2008
12,Digital,OverDrive,AUDIOBOOK,2018,2,20,Matilda (Unabridged),Roald Dahl,"Fantasy, Juvenile Fiction",Books on Tape,2014
14,Digital,OverDrive,AUDIOBOOK,2018,2,4,The Power of Sleep (Unabridged),Kelly Howell,"Nonfiction, Self-Improvement",Books on Tape,2008
16,Digital,OverDrive,AUDIOBOOK,2018,2,3,Phantom Instinct (Unabridged),Meg Gardiner,"Fiction, Mystery","Blackstone Audio, Inc.",2014
39,Digital,OverDrive,AUDIOBOOK,2018,4,1,The Vaults (Unabridged),Toby Ball,"Fiction, Mystery",Iambik Audio,2014
55,Digital,OverDrive,AUDIOBOOK,2018,12,3,I Liked My Life: A Novel (unabridged) (Unabridged),Abby Fabiaschi,"Fiction, Literature",Macmillan Audio,2017
65,Digital,OverDrive,AUDIOBOOK,2018,12,12,"Red Notice: A True Story of High Finance, Murder and One Man's Fight for Justice (unabridged) (Unabridged)",Bill Browder,"Business, Nonfiction","Recorded Books, LLC",2018
70,Digital,OverDrive,AUDIOBOOK,2018,12,1,Cutting Edge: A Novel (unabridged) (Unabridged),Ward Larsen,"Fiction, Thriller",Macmillan Audio,2018
122,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Terror (Unabridged),Dan Simmons,"Fiction, Literature",Books on Tape,2007
137,Digital,OverDrive,AUDIOBOOK,2018,1,1,The House (Unabridged),Danielle Steel,"Fiction, Romance",Books on Tape,2008
150,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Get Motivated!: Overcome Any Obstacle, Achieve Any Goal, and Accelerate Your Success with Motivational DNA (unabridged) (Unabridged)",Tamara Lowe,"Business, Nonfiction",Books on Tape,2009
156,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Problem of Pain (Unabridged),C. S. Lewis,"Nonfiction, Religion & Spirituality",HarperCollins Publishers Inc.,2013
161,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Power of the Dog (Unabridged),Don Winslow,"Fiction, Suspense","Blackstone Audio, Inc.",2011
186,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Scent of Salt and Sand: Escaped Series, Book 2.5 (unabridged) (Unabridged)",Kristin Cast,"Fantasy, Fiction, Romance","Blackstone Audio, Inc.",2016
209,Digital,OverDrive,AUDIOBOOK,2018,1,4,Fahrenheit 451 (Unabridged),Ray Bradbury,"Fiction, Science Fiction & Fantasy","Tantor Media, Inc",2014
223,Digital,OverDrive,AUDIOBOOK,2018,1,64,Into the Water: A Novel (unabridged) (Unabridged),Paula Hawkins,"Fiction, Literature, Suspense, Thriller",Books on Tape,2017
238,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The World Is Bigger Now: An American Journalist's Release from Captivity in North Korea . . . A Remarkable Story of Faith, Family, and Forgiveness (unabridged) (Unabridged)",Euna Lee,"Biography & Autobiography, Nonfiction",Books on Tape,2010
242,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Through the Grinder: Coffeehouse Mystery Series, Book 2 (unabridged) (Unabridged)",Cleo Coyle,"Fiction, Mystery","Blackstone Audio, Inc.",2012
253,Digital,OverDrive,AUDIOBOOK,2018,1,1,Why Teams Don't Work: What Went Wrong & How to Make It Right (abridged) (Abridged),Harvey Robbins,"Business, Nonfiction",HighBridge Company,2007
256,Digital,OverDrive,AUDIOBOOK,2018,1,4,"By a Spider's Thread: Tess Monaghan Series, Book 8 (unabridged) (Unabridged)",Laura Lippman,"Fiction, Suspense, Thriller",HarperCollins Publishers Inc.,2017
257,Digital,OverDrive,AUDIOBOOK,2018,1,9,Two Years Eight Months and Twenty-Eight Nights: A Novel (unabridged) (Unabridged),Salman Rushdie,"Fantasy, Fiction, Literature, Mythology",Books on Tape,2015
282,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Art of War for Small Business: Defeat the Competition and Dominate the Market with the Masterful Strategies of Sun Tzu (unabridged) (Unabridged),Becky Sheetz-Runkle,"Business, Nonfiction",Gildan Media Corp,2014
287,Digital,OverDrive,AUDIOBOOK,2018,1,5,Scandinavians: In Search of the Soul of the North (unabridged) (Unabridged),Robert Ferguson,"History, Nonfiction","Tantor Media, Inc",2017
289,Digital,OverDrive,AUDIOBOOK,2018,1,1,Hong Kong (Unabridged),Jan Morris,"Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2014
301,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Murder at the Brightwell: Amory Ames Mystery Series, Book 1 (unabridged) (Unabridged)",Ashley Weaver,"Fiction, Mystery, Suspense, Thriller","Dreamscape Media, LLC",2014
310,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Perelandra: Cosmic Trilogy, Book 2 (unabridged) (Unabridged)",C. S. Lewis,"Fantasy, Fiction, Science Fiction","Blackstone Audio, Inc.",2008
327,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Atomic Bazaar: The Rise of the Nuclear Poor (unabridged) (Unabridged),William Langewiesche,"Current Events, Nonfiction","Blackstone Audio, Inc.",2009
333,Digital,OverDrive,AUDIOBOOK,2018,1,3,"First Rider's Call: Green Rider Series, Book 2 (unabridged) (Unabridged)",Kristen Britain,"Fantasy, Fiction",Books on Tape,2014
335,Digital,OverDrive,AUDIOBOOK,2018,1,5,"The Enticement: The Submissive Series, Book 4 (unabridged) (Unabridged)",Tara Sue Me,"Erotic Literature, Fiction, Romance",Books on Tape,2015
338,Digital,OverDrive,AUDIOBOOK,2018,1,4,Dadland (Unabridged),Keggie Carew,"Biography & Autobiography, History, Military, Nonfiction",Books on Tape,2017
341,Digital,OverDrive,AUDIOBOOK,2018,1,2,Under the Big Black Sun: A Personal History of L.A. Punk (unabridged) (Unabridged),John Doe,"Biography & Autobiography, Music, Nonfiction, Performing Arts",Books on Tape,2016
358,Digital,OverDrive,AUDIOBOOK,2018,1,9,The House of the Spirits: A Novel (unabridged) (Unabridged),Isabel Allende,"Fantasy, Fiction, Historical Fiction, Literature",Simon & Schuster - All Library,2017
359,Digital,OverDrive,AUDIOBOOK,2018,1,1,Intuitive Healing: Five Steps to Developing Intuition (unabridged) (Unabridged),"Judith Orloff, M.D.","New Age, Nonfiction",Hay House,2005
367,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Bertie Plays the Blues: 44 Scotland Street Series, Book 7 (unabridged) (Unabridged)",Alexander McCall Smith,"Fiction, Literature","Recorded Books, LLC",2017
380,Digital,OverDrive,AUDIOBOOK,2018,1,2,I'll Tell You In Person (Unabridged),Chloe Caldwell,"Biography & Autobiography, Nonfiction","Tantor Media, Inc",2017
437,Digital,OverDrive,AUDIOBOOK,2018,1,2,"If Walls Could Talk: Haunted Home Renovation Mystery Series, Book 1 (unabridged) (Unabridged)",Juliet Blackwell,"Fantasy, Fiction, Literature","Tantor Media, Inc",2014
438,Digital,OverDrive,AUDIOBOOK,2018,1,6,Paddington Goes to Town (Unabridged),Michael Bond,"Classic Literature, Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2017
446,Digital,OverDrive,AUDIOBOOK,2018,1,3,A Rabble of Dead Money: The Great Crash and the Global Depression: 1929-1939 (unabridged) (Unabridged),Charles R. Morris,"Business, History, Nonfiction",HighBridge Company,2017
465,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Curse of the Blue Tattoo: Being an Account of the Misadventures of Jacky Faber, Midshipman and Fine Lady: Bloody Jack Adventure Series, Book 2 (unabridged) (Unabridged)",L. A. Meyer,"Historical Fiction, Young Adult Fiction","Listen & Live Audio, Inc.",2008
486,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Straken: High Druid of Shannara Trilogy, Book 3 (unabridged) (Unabridged)",Terry Brooks,"Fantasy, Fiction",Books on Tape,2006
503,Digital,OverDrive,AUDIOBOOK,2018,1,8,"The Escape: Survivor's Club Series, Book 3 (unabridged) (Unabridged)",Mary Balogh,"Fiction, Historical Fiction","Recorded Books, LLC",2017
524,Digital,OverDrive,AUDIOBOOK,2018,1,2,Saving Zoe: A Novel (unabridged) (Unabridged),Alyson Noël,"Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
535,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Triggers: How Behavior Change Begins, How to Make It Meaningful, How to Make It Last (unabridged) (Unabridged)",Marshall Goldsmith,"Business, Nonfiction, Self-Improvement",Books on Tape,2015
542,Digital,OverDrive,AUDIOBOOK,2018,1,4,"City of Fallen Angels: Shadowhunters: The Mortal Instruments Series, Book 4 (unabridged) (Unabridged)",Cassandra Clare,"Fantasy, Young Adult Fiction",Simon & Schuster - All Library,2013
548,Digital,OverDrive,AUDIOBOOK,2018,1,3,I Hear Your Voice (Unabridged),Young-ha Kim,"Fiction, Literature",HighBridge Company,2017
565,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Keepsake: Jane Rizzoli & Maura Isles Series, Book 7 (unabridged) (Unabridged)",Tess Gerritsen,"Fiction, Mystery, Suspense",Books on Tape,2008
566,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Shark's Paintbrush: Biomimicry and How Nature Is Inspiring Innovation (unabridged) (Unabridged),Jay Harman,"Business, Nature, Nonfiction, Science","Blackstone Audio, Inc.",2013
571,Digital,OverDrive,AUDIOBOOK,2018,1,3,Remember Me? (Unabridged),Sophie Kinsella,"Fiction, Humor (Fiction), Literature, Romance",Books on Tape,2008
577,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Secret to Attracting Wealth (Unabridged),Kelly Howell,"Nonfiction, Self-Improvement",Books on Tape,2008
580,Digital,OverDrive,AUDIOBOOK,2018,1,1,Treason (Unabridged),Orson Scott Card,"Fiction, Science Fiction & Fantasy","Blackstone Audio, Inc.",2010
619,Digital,OverDrive,AUDIOBOOK,2018,1,6,The War I Finally Won (Unabridged),Kimberly Brubaker Bradley,"Historical Fiction, Juvenile Fiction, Juvenile Literature",Books on Tape,2017
621,Digital,OverDrive,AUDIOBOOK,2018,1,2,The New Moon's Arms (Unabridged),Nalo Hopkinson,Fiction,"Blackstone Audio, Inc.",2012
627,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Who Do I Talk To?: Yada Yada House of Hope Series, Book 2 (unabridged) (Unabridged)",Neta Jackson,"Fiction, Literature","Recorded Books, LLC",2017
631,Digital,OverDrive,AUDIOBOOK,2018,1,1,A Crowdfunder's Strategy Guide: Build a Better Business by Building Community (unabridged) (Unabridged),Jamey Stegmaier,"Business, Nonfiction","Berrett-Koehler Publishers, Inc.",2017
645,Digital,OverDrive,AUDIOBOOK,2018,1,2,Tiny Pretty Things (Unabridged),Sona Charaipotra,"Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2015
649,Digital,OverDrive,AUDIOBOOK,2018,1,1,Cat O'Nine Tales: And Other Stories (unabridged) (Unabridged),Jeffrey Archer,"Fiction, Short Stories",Macmillan Audio,2013
669,Digital,OverDrive,AUDIOBOOK,2018,1,6,"13 Things Mentally Strong Parents Don't Do: Raising Self-Assured Children and Training Their Brains for a Life of Happiness, Meaning, and Success (unabridged) (Unabridged)",Amy Morin,"Family & Relationships, Nonfiction, Self-Improvement",HarperCollins Publishers Inc.,2017
724,Digital,OverDrive,AUDIOBOOK,2018,1,3,"One, Two, Three: Absolutely Elementary Mathematics (unabridged) (Unabridged)",David Berlinski,"Mathematics, Nonfiction",Books on Tape,2013
728,Digital,OverDrive,AUDIOBOOK,2018,1,2,Killing Jesus: A History (unabridged) (Unabridged),Bill O'Reilly,"History, Nonfiction, Religion & Spirituality",Macmillan Audio,2013
735,Digital,OverDrive,AUDIOBOOK,2018,1,3,Only Daughter (Unabridged),Anna Snoekstra,"Fiction, Suspense, Thriller",HarperCollins Publishers Inc.,2016
752,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Heather the Violet Fairy: Rainbow Magic Series, Book 7 (unabridged) (Unabridged)",Daisy Meadows,Juvenile Fiction,Scholastic Inc. Audiobooks,2011
753,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Folk Keeper (Unabridged),Franny Billingsley,"Fantasy, Young Adult Fiction",Books on Tape,2009
754,Digital,OverDrive,AUDIOBOOK,2018,1,1,Once Upon a Toad (Unabridged),Heather Vogel Frederick,"Folklore, Juvenile Fiction, Juvenile Literature","Ideal Audiobooks, LLC",2017
778,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Immoral Certainty: Butch Karp and Marlene Ciampi Series, Book 3 (unabridged) (Unabridged)",Robert K. Tanenbaum,"Fiction, Thriller","Blackstone Audio, Inc.",2013
782,Digital,OverDrive,AUDIOBOOK,2018,1,5,"No Time Like the Present: Finding Freedom, Love, and Joy Right Where You Are (unabridged) (Unabridged)",Jack Kornfield,"New Age, Nonfiction, Self-Improvement",Simon & Schuster - All Library,2017
788,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Last Stand of Fox Company: A True Story of U.S. Marines in Combat (unabridged) (Unabridged),Bob Drury,"History, Nonfiction","Tantor Media, Inc",2009
789,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Cairo Affair: A Novel (unabridged) (Unabridged),Olen Steinhauer,"Fiction, Suspense, Thriller",Macmillan Audio,2013
836,Digital,OverDrive,AUDIOBOOK,2018,1,2,A Line in the Dark (Unabridged),Malinda Lo,"Mystery, Young Adult Fiction, Young Adult Literature",Books on Tape,2017
839,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Nine: Inside the Secret World of the Supreme Court (unabridged) (Unabridged),Jeffrey Toobin,"Law, Nonfiction, Politics",Books on Tape,2007
856,Digital,OverDrive,AUDIOBOOK,2018,1,2,One Enchanted Evening (Unabridged),Lynn Kurland,"Fiction, Historical Fiction, Romance",Books on Tape,2014
865,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Suitors (Unabridged),Cecile David-Weill,"Fiction, Literature","Blackstone Audio, Inc.",2013
870,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Early to Death, Early to Rise: Madison Avery Series, Book 2 (unabridged) (Unabridged)",Kim Harrison,"Fantasy, Young Adult Fiction",HarperCollins Publishers Inc.,2010
891,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Raymond Chandler, The BBC Radio Drama Collection: 8 BBC Radio 4 full-cast dramatisations (unabridged) (Unabridged)",Raymond Chandler,"Fiction, Mystery",Random House Group Limited,2016
899,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Dirty for Me: Motor City Royals Series, Book 1 (unabridged) (Unabridged)",Jackie Ashenden,"Erotic Literature, Fiction, Romance",Insatiable Press,2017
922,Digital,OverDrive,AUDIOBOOK,2018,1,2,"An Irish Country Love Story: Irish Country Series, Book 11 (unabridged) (Unabridged)",Patrick Taylor,"Fiction, Literature",Macmillan Audio,2016
936,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Wild Horse Country: The History, Myth, and Future of the Mustang (unabridged) (Unabridged)",David Philipps,"History, Nonfiction",HighBridge Company,2017
944,Digital,OverDrive,AUDIOBOOK,2018,1,1,There Was an Old Lady Who Swallowed a Chick (Unabridged),Lucille Colandro,"Juvenile Fiction, Poetry",Scholastic Inc. Audiobooks,2012
951,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Salt, Sweat, Tears: The Men Who Rowed the Oceans (unabridged) (Unabridged)",Adam Rackley,"History, Nonfiction, Sports & Recreations","Tantor Media, Inc",2014
952,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Valkyries (Unabridged),Paulo Coelho,"Fiction, Literature",HarperCollins Publishers Inc.,2013
972,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Big Oyster: History on the Half Shell (unabridged) (Unabridged),Mark Kurlansky,"History, Nonfiction",Books on Tape,2006
1005,Digital,OverDrive,AUDIOBOOK,2018,1,11,Never Split the Difference: Negotiating as If Your Life Depended on It (unabridged) (Unabridged),Chris Voss,"Business, Nonfiction",HarperCollins Publishers Inc.,2016
1009,Digital,OverDrive,AUDIOBOOK,2018,1,1,Jacob Have I Loved (Abridged),Katherine Paterson,"Historical Fiction, Young Adult Fiction",HarperCollins Publishers Inc.,2009
1020,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Fountain of St. James Court; or, Portrait of the Artist as an Old Woman: A Novel (unabridged) (Unabridged)",Sena Jeter Naslund,"Fiction, Historical Fiction",HarperCollins Publishers Inc.,2013
1025,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Sunless Countries: Virga Series, Book 4 (unabridged) (Unabridged)",Karl Schroeder,"Fiction, Science Fiction",Macmillan Audio,2012
1064,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Take the Key and Lock Her Up: Embassy Row Series, Book 3 (unabridged) (Unabridged)",Ally Carter,"Thriller, Young Adult Fiction",Scholastic Inc. Audiobooks,2017
1080,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Hound of Death (Unabridged),Agatha Christie,"Drama, Fiction, Mystery",Random House Group Limited,2017
1083,Digital,OverDrive,AUDIOBOOK,2018,1,1,NPR Road Trips Collection (Unabridged),NPR,"Nonfiction, Performing Arts, Travel",HighBridge Company,2016
1096,Digital,OverDrive,AUDIOBOOK,2018,1,2,Disrupted: My Misadventure in the Start-Up Bubble (unabridged) (Unabridged),Dan Lyons,"Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2016
1100,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Disney Fairies Collection, Volume 6: Dulcie's Taste of Magic; Silvermist and the Ladybug Curse (unabridged) (Unabridged)",Gail Herman,Juvenile Fiction,Books on Tape,2011
1117,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Shopaholic to the Stars: Shopaholic Series, Book 7 (unabridged) (Unabridged)",Sophie Kinsella,"Chick Lit Fiction, Fiction, Humor (Fiction), Romance",Books on Tape,2014
1144,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Knit Two: The Friday Night Knitting Club Series, Book 2 (unabridged) (Unabridged)",Kate Jacobs,"Fiction, Romance","Blackstone Audio, Inc.",2009
1160,Digital,OverDrive,AUDIOBOOK,2018,1,11,As You Wish: Inconceivable Tales from the Making of The Princess Bride (unabridged) (Unabridged),Cary Elwes,"Biography & Autobiography, Nonfiction, Performing Arts",Simon & Schuster - All Library,2015
1170,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Cyador's Heirs: Saga of Recluce, Book 17 (unabridged) (Unabridged)","L. E. Modesitt, Jr.","Fantasy, Fiction","Tantor Media, Inc",2017
1185,Digital,OverDrive,AUDIOBOOK,2018,1,1,Forbes Greatest Investing Stories (Unabridged),Richard Phalon,"Business, Nonfiction","Blackstone Audio, Inc.",2005
1227,Digital,OverDrive,AUDIOBOOK,2018,1,1,Wolfgang Amadeus Mozart (Unabridged),Jeremy Siepmann,"Biography & Autobiography, Music, Nonfiction","Naxos of America, Inc.",2006
1230,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Happiest Days of Our Lives (Unabridged),Wil Wheaton,"Biography & Autobiography, Nonfiction","Blackstone Audio, Inc.",2014
1232,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Anne of Green Gables: Anne of Green Gables Series, Book 1 (unabridged) (Unabridged)",L. M.  Montgomery,"Classic Literature, Juvenile Fiction","Blackstone Audio, Inc.",2005
1254,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Sunrise Lands: Emberverse: The Change Series, Book 1 (unabridged) (Unabridged)",S. M. Stirling,"Fiction, Science Fiction","Tantor Media, Inc",2009
1261,Digital,OverDrive,AUDIOBOOK,2018,1,4,Learn in Your Car Japanese Level One (Unabridged),Henry N. Raymond,"Foreign Language Study, Foreign Language Study - Japanese, Nonfiction","Penton Overseas, Inc.",2006
1267,Digital,OverDrive,AUDIOBOOK,2018,1,4,"The Raven King: Raven Cycle, Book 4 (unabridged) (Unabridged)",Maggie Stiefvater,"Fantasy, Young Adult Fiction",Scholastic Inc. Audiobooks,2016
1268,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Thoroughly Modern Collection (Unabridged),Angela Huth,"Fiction, Short Stories",CSA Word,2009
1269,Digital,OverDrive,AUDIOBOOK,2018,1,3,Kathy Griffin's Celebrity Run-Ins: My A-Z Index (unabridged) (Unabridged),Kathy Griffin,"Biography & Autobiography, Humor (Nonfiction), Nonfiction, Performing Arts",Macmillan Audio,2016
1294,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Behemoth: Leviathan Series, Book 2 (unabridged) (Unabridged)",Scott Westerfeld,"Historical Fiction, Science Fiction, Young Adult Fiction",Simon & Schuster - All Library,2014
1301,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Eye of God: Sigma Force Series, Book 9 (unabridged) (Unabridged)",James Rollins,"Fiction, Thriller",HarperCollins Publishers Inc.,2013
1312,Digital,OverDrive,AUDIOBOOK,2018,1,4,"There Goes the Bride: Agatha Raisin Mystery Series, Book 20 (unabridged) (Unabridged)",M. C. Beaton,"Fiction, Mystery","Blackstone Audio, Inc.",2009
1323,Digital,OverDrive,AUDIOBOOK,2018,1,2,Dry: A Memoir (unabridged) (Unabridged),Augusten Burroughs,"Biography & Autobiography, Nonfiction, Self-Improvement",Macmillan Audio,2007
1330,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Daybreakers: The Sacketts Series, Book 6 (unabridged) (Unabridged)",Louis L'Amour,"Fiction, Historical Fiction, Thriller, Western",Books on Tape,2013
1340,Digital,OverDrive,AUDIOBOOK,2018,1,9,The Art of Living: Peace and Freedom in the Here and Now (unabridged) (Unabridged),Thich Nhat Hanh,"Nonfiction, Philosophy, Religion & Spirituality",HarperCollins Publishers Inc.,2017
1348,Digital,OverDrive,AUDIOBOOK,2018,1,5,Jack of Spades (Unabridged),Joyce Carol Oates,"Fiction, Thriller",HighBridge Company,2017
1353,Digital,OverDrive,AUDIOBOOK,2018,1,2,Learn in Your Car Russian Level One (Unabridged),Henry N. Raymond,"Foreign Language Study, Foreign Language Study - Russian, Nonfiction","Penton Overseas, Inc.",2006
1389,Digital,OverDrive,AUDIOBOOK,2018,1,4,Ghostwritten (Unabridged),David Mitchell,"Fiction, Science Fiction","Recorded Books, LLC",2017
1391,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Journeys Home: Inspiring Stories, plus Tips and Strategies to Find Your Family History (unabridged) (Unabridged)",Andrew McCarthy,"Biography & Autobiography, Nonfiction, Travel","Blackstone Audio, Inc.",2015
1400,Digital,OverDrive,AUDIOBOOK,2018,1,4,"The Last Colony: Old Man's War Series, Book 3 (unabridged) (Unabridged)",John Scalzi,"Fiction, Science Fiction",Macmillan Audio,2013
1428,Digital,OverDrive,AUDIOBOOK,2018,1,43,Before We Were Yours: A Novel (unabridged) (Unabridged),Lisa Wingate,"Fiction, Historical Fiction, Literature",Books on Tape,2017
1429,Digital,OverDrive,AUDIOBOOK,2018,1,4,"God, Faith, and Reason (Unabridged)",Michael Savage,"Nonfiction, Politics, Religion & Spirituality","Blackstone Audio, Inc.",2017
1431,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Rabbit Ears Storybook Classics, Volume 5: Emperor's New Clothes, Jack and the Beanstalk (unabridged) (Unabridged)",Rabbit Ears,Juvenile Fiction,Books on Tape,2007
1449,Digital,OverDrive,AUDIOBOOK,2018,1,2,Animals in Translation: Using the Mysteries of Autism to Decode Animal Behavior (unabridged) (Unabridged),Temple Grandin,"Nonfiction, Science","Tantor Media, Inc",2009
1452,Digital,OverDrive,AUDIOBOOK,2018,1,4,"The Last Ever After: The School for Good and Evil Series, Book 3 (unabridged) (Unabridged)",Soman Chainani,"Fantasy, Juvenile Fiction",HarperCollins Publishers Inc.,2015
1469,Digital,OverDrive,AUDIOBOOK,2018,1,3,Oh Crap! Potty Training: Everything Modern Parents Need to Know to Do It Once and Do It Right (unabridged) (Unabridged),Jamie Glowacki,"Family & Relationships, Nonfiction","Tantor Media, Inc",2015
1473,Digital,OverDrive,AUDIOBOOK,2018,1,2,Broadchurch: A Novel (unabridged) (Unabridged),Erin Kelly,"Fiction, Literature, Mystery",Macmillan Audio,2014
1482,Digital,OverDrive,AUDIOBOOK,2018,1,4,"The Ringworld Throne: Ringworld Series, Book 3 (unabridged) (Unabridged)",Larry Niven,"Fiction, Science Fiction","Blackstone Audio, Inc.",2012
1483,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Football Champ: Football Genius Series, Book 3 (unabridged) (Unabridged)",Tim Green,"Juvenile Fiction, Juvenile Literature",Full Cast Audio,2010
1519,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Good Father (Unabridged),Noah Hawley,"Fiction, Literature",Books on Tape,2012
1532,Digital,OverDrive,AUDIOBOOK,2018,1,29,The Buried Giant: A Novel (unabridged) (Unabridged),Kazuo Ishiguro,"Fantasy, Fiction, Historical Fiction, Literature",Books on Tape,2015
1553,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Beautiful Liar: Dark Desires Series, Book 1 (unabridged) (Unabridged)",Zara Cox,"Erotic Literature, Fiction, Literature, Romance",Hachette Audio,2017
1559,Digital,OverDrive,AUDIOBOOK,2018,1,7,The Dark Dark: Stories (unabridged) (Unabridged),Samantha Hunt,"Fiction, Literature, Short Stories","Dreamscape Media, LLC",2017
1564,Digital,OverDrive,AUDIOBOOK,2018,1,4,Not Quite a Genius (Unabridged),Nate Dern,"Biography & Autobiography, Essays, Humor (Nonfiction), Nonfiction",Simon & Schuster - All Library,2017
1566,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Cruel Crown: Red Queen Series, Books 0.1 & 0.2 (unabridged) (Unabridged)",Victoria Aveyard,Young Adult Fiction,HarperCollins Publishers Inc.,2016
1575,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Treacherous Alliance: The Secret Dealings of Israel, Iran, and the United States (unabridged) (Unabridged)",Trita Parsi,"Nonfiction, Politics",Yale University Press,2008
1578,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Difference: How Anyone Can Prosper in Even The Toughest Times (unabridged) (Unabridged),Jean Chatzky,"Business, Finance, Nonfiction",Books on Tape,2009
1586,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Wicked Ways of Alexander Kidd: The MacGregors: Highland Heirs Series, Book 2 (unabridged) (Unabridged)",Paula Quinn,"Fiction, Historical Fiction, Romance","Blackstone Audio, Inc.",2014
1606,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Land That Time Forgot: Caspak Trilogy, Book 1 (unabridged) (Unabridged)",Edgar Rice Burroughs,"Classic Literature, Fiction, Science Fiction & Fantasy","Blackstone Audio, Inc.",2008
1616,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Summer According to Humphrey: Humphrey Series, Book 7 (unabridged) (Unabridged)",Betty G. Birney,"Humor (Fiction), Juvenile Fiction",Books on Tape,2010
1630,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Speaker for the Dead: Ender Wiggin Series, Book 2 (unabridged) (Unabridged)",Orson Scott Card,"Fiction, Science Fiction",Macmillan Audio,2006
1635,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Alexandria Link: Cotton Malone Series, Book 2 (unabridged) (Unabridged)",Steve Berry,"Fiction, Thriller",Books on Tape,2007
1636,Digital,OverDrive,AUDIOBOOK,2018,1,7,"Dark Lover: Black Dagger Brotherhood Series, Book 1 (unabridged) (Unabridged)",J. R. Ward,"Fantasy, Fiction, Romance","Recorded Books, LLC",2016
1638,Digital,OverDrive,AUDIOBOOK,2018,1,1,"13 Bullets: A Vampire Tale: Laura Caxton Series, Book 1 (unabridged) (Unabridged)",David Wellington,"Fantasy, Fiction","Blackstone Audio, Inc.",2010
