"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","VIDEODISC","2012","1","3","Sign with your baby [videorecording] / a production of Northlight Communications Inc. ; executive producer, Bob Tarcea ; written, produced and directed by Robert Berg.",,"Sign language, Language acquisition Parent participation, Infants Development, Educational films, Video recordings for the hearing impaired","Northlight Communications,","c2004-2005."
"Physical","Horizon","BOOK","2012","1","2","Uh-oh! / Rachel Isadora.","Isadora, Rachel","Toddlers Juvenile fiction, African Americans Juvenile fiction","Harcourt,","2008."
"Physical","Horizon","BOOK","2012","1","3","Fall leaves : colorful and crunchy / Martha E. H. Rustad ; illustrated by Amanda Enright.","Rustad, Martha E. H. (Martha Elizabeth Hillman), 1975-","Leaves Juvenile literature, Leaves Color Juvenile literature, Autumn Juvenile literature","Millbrook Press,","c2012."
"Digital","OverDrive","EBOOK","2012","1","1","The Sun King","David Ignatius","Fiction, Literature, Suspense, Thriller","Random House, Inc.","2011"
"Physical","Horizon","BOOK","2012","1","3","Dead men dont crochet",,"Pink Molly Fictitious character Fiction, Murder Investigation Fiction, Women Societies and clubs Fiction, Crocheting Fiction, Mystery fiction",,
"Physical","Horizon","VIDEODISC","2012","1","5","Da Vincis inquest Season 3",,"Coroners British Columbia Vancouver Drama, Forensic pathology British Columbia Vancouver Drama, Criminal investigation Drama, Fiction television programs, Mystery television programs",,
"Physical","Horizon","BOOK","2012","1","2","When life gives you O.J. / Erica S. Perl.","Perl, Erica S.","Grandfathers Juvenile fiction, Dogs Fiction, Family life Vermont Fiction, Jews United States Fiction, Self confidence Juvenile fiction, Vermont Juvenile fiction","Alfred A. Knopf,","2011."
"Physical","Horizon","VIDEODISC","2012","1","2","Kyo kara maoh Season 2 Vol 1 God save our king",,"Demonology Drama, Battles Drama, Kings and rulers Drama, High school students Drama, Conflict management Drama, Anime Japan, Adventure television programs",,
"Physical","Horizon","SOUNDDISC","2012","1","2","Getting to know myself",,"Childrens songs Juvenile sound recordings, Singing games Juvenile sound recordings, Songs",,
"Physical","Horizon","BOOK","2012","1","1","Ancient Sichuan : treasures from a lost civilization / edited by Robert Bagley, with contributions by Jay Xu ... [and others].",,"Excavations Archaeology China Sichuan Sheng, Sichuan Sheng China Antiquities, Sanxingdui Site China Antiquities","Seattle Art Museum ; Princeton University Press,","c2001."
"Physical","Horizon","BOOK","2012","1","6","Pegasus / Robin McKinley.","McKinley, Robin","Pegasus Greek mythology Juvenile fiction, Human animal communication Juvenile fiction, Princesses Juvenile fiction, Magic Fiction, Fantasy Fiction","G.P. Putnam's Sons,","2010."
"Physical","Horizon","BOOK","2012","1","5","Stray sock sewing : making unique, imaginative sock dolls step-by-step / by Daniel ; [photography by Liao Chia Wei].","Nault, Daniel","Dollmaking, Cloth dolls, Socks, Sewing","North Light,","2008, c2006."
"Physical","Horizon","SOUNDDISC","2012","1","1","Seven angels on a bicycle",,"Country music 2001 2010",,
"Digital","OverDrive","EBOOK","2012","1","2","Secrets of a Perfect Night","STEPHANIE LAURENS","Fiction, Romance","HarperCollins Publishers Inc.","2008"
"Physical","Horizon","SOUNDDISC","2012","1","2","The family jewels [sound recording] / Marina & the Diamonds.","Marina & the Diamonds","Popular music 2001 2010, Rock music 2001 2010","Chop Shop/Atlantic,","p2010."
"Physical","Horizon","VIDEODISC","2012","1","51","Forks over knives [videorecording] / Monica Beach Media ; executive producer, Brian Wendel ; written and directed by Lee Fulkerson ; producer, John Corry ; co-producer, Allison Boon.",,"Nutritionally induced diseases, Vegetables in human nutrition, Fruit in human nutrition, Vegetarianism, Vegetarian cooking, Documentary films, Nonfiction films, Video recordings for the hearing impaired","Virgil Films,","c2011."
"Physical","Horizon","SOUNDDISC","2012","1","1","Cat chaser",,"Mystery fiction",,
"Digital","Freegal","SONG","2012","1","2","Sweetest Girl (Dollar Bill)","Wyclef Jean featuring Akon, Lil Wayne, and introducing Niia",,,
"Physical","Horizon","VIDEODISC","2012","1","15","Waking the dead. 5 [videorecording] / BBC ; producer, Richard Burrell ; writers, Raymond Khoury ... [and others] ; directors, Ben Bolt ... [et al.]",,"Cold cases Criminal investigation England Drama, Serial murderers England Drama, Serial murder investigation Drama, Sadomasochists England Drama, Bomb threats England Drama, Criminal behavior England Drama, Television series, Television cop shows, Detective and mystery television programs Great Britain, Fiction television programs, Video recordings for the hearing impaired","BBC Video ; Distributed by BBC Worldwide Americas ; Distributed by Warner Home Video,","2011."
"Physical","Horizon","BOOK","2012","1","1","Selected poetry Johann Wolfgang von Goethe translated with an introduction and notes by David Luke",,"Goethe Johann Wolfgang von 1749 1832 Translations into English",,
"Physical","Horizon","BOOK","2012","1","1","scavengers manifesto",,"Ragpickers United States, Salvage Waste etc United States",,
"Digital","Freegal","SONG","2012","1","1","Perdoname","Amaia Montero",,,
"Physical","Horizon","BOOK","2012","1","2","A look at the Thirteenth and Fourteenth Amendments : slavery abolished, equal protection established / John Richard Conway.","Conway, John Richard, 1969-","United States Constitution 13th Amendment, United States Constitution 14th Amendment, Slavery Law and legislation United States History, Equality before the law United States History, Slaves Legal status laws etc United States History, African Americans Civil rights History 19th century, Slavery United States History","MyReportLinks.com Books,","c2009."
"Physical","Horizon","BOOK","2012","1","2","How to be idle / Tom Hodgkinson.","Hodgkinson, Tom","Laziness, Relaxation","HarperCollins,","c2005."
"Physical","Horizon","BOOK","2012","1","3","Don't try this at home : culinary catastrophes from the world's greatest chefs / edited by Kimberly Witherspoon and Andrew Friedman.",,"Cooks Anecdotes, Cooking Anecdotes","Bloomsbury,","2005."
"Physical","Horizon","BOOK","2012","1","3","Blindfold game / Dana Stabenow.","Stabenow, Dana","United States Coast Guard Fiction, Koreans United States Fiction, Terrorism Prevention Fiction, Intelligence officers Fiction, Alaska Fiction, Suspense fiction","St. Martin's Press,","2006."
"Digital","OverDrive","EBOOK","2012","1","1","Oregon Trail: The Road to Destiny","David Lasky","History, Young Adult Nonfiction","Random House, Inc.","2011"
"Physical","Horizon","SOUNDDISC","2012","1","2","Coward",,"Jazz 2001 2010, Guitar music Jazz",,
"Physical","Horizon","SOUNDDISC","2012","1","1","Dont forget the bacon",,"Stories in rhyme",,
"Physical","Horizon","SOUNDDISC","2012","1","13","Tell me [sound recording] / Jessica Lea Mayfield.","Mayfield, Jessica Lea","Rock music 2011 2020","Nonesuch/Polymer Sounds,","p2011."
"Physical","Horizon","BOOK","2012","1","1","Ecstasy and common sense",,"Spiritual life Catholic Church, Meditations, Mysticism",,
"Physical","Horizon","BOOK","2012","1","1","sea of gold and other tales from Japan",,"Tales Japan",,
"Digital","OverDrive","AUDIOBOOK","2012","1","1","The Forgotten Man: Elvis Cole Series, Book 10 (unabridged) (Unabridged)","Robert Crais","Fiction, Suspense","Brilliance Audio, Inc.","2010"
"Digital","OverDrive","EBOOK","2012","1","1","The Kill Clause: Tim Rackley Series, Book 1","Gregg Hurwitz","Fiction, Thriller","HarperCollins Publishers Inc.","2010"
"Physical","Horizon","BOOK","2012","1","1","King of thorn Volume 5",,"Twins Comic books strips etc, Sisters Comic books strips etc, Low temperature engineering Comic books strips etc, Monsters Comic books strips etc, Science fiction comic books strips etc, Graphic novels",,
"Digital","OverDrive","EBOOK","2012","1","2","Wine of Violence: Medieval Mystery Series, Book 1","Priscilla Royal","Fiction, Mystery","Poisoned Pen Press","2011"
"Physical","Horizon","BOOK","2012","1","1","A gentleman never tells / Amelia Grey.","Grey, Amelia","Scandals Fiction, Man woman relationships Fiction, Love stories, Historical fiction","Sourcebooks Casablanca,","c2011."
"Physical","Horizon","VIDEODISC","2012","1","29","The wire. The complete fourth season [videorecording] / Home Box Office, Inc. ; HBO Original Programming ; producer, Ed Burns, Karen L. Thorson ; created by David Simon.",,"Drug traffic Maryland Baltimore Drama, Inner cities Drama, Police Maryland Baltimore Drama, Criminal investigation Maryland Baltimore Drama, Undercover operations Drama, Baltimore Md Drama, Television series, Television cop shows, Fiction television programs, Video recordings for the hearing impaired, Detective and mystery television programs","HBO Video,","[2007]"
"Physical","Horizon","VIDEODISC","2012","1","1","Welcome [videorecording] : refugee guide to resettlement / executive producer, Sanja Bebic ; producer, Sharyl Tanck ; directed and edited by Mike Stanley.",,"Refugees United States Life skills guides, Immigrants Services for United States, Immigrants United States Life skills guides, Refugees Cultural assimilation United States, United States Emigration and immigration","Center for Applied Linguistics,","2004."
"Digital","OverDrive","EBOOK","2012","1","1","Acing the College Application: How to Maximize Your Chances for Admission to the College of Your Choice","Michele Hernandez","Nonfiction, Study Aids & Workbooks","Random House, Inc.","2010"
"Physical","Horizon","BOOK","2012","1","8","Now you see it : how the brain science of attention will transform the way we live, work, and learn / Cathy N. Davidson.","Davidson, Cathy N., 1949-","Attention, Distraction Psychology, Neurosciences","Viking,","2011."
"Physical","Horizon","BOOK","2012","1","8","Kevin goes to the library / [written and illustrated by] Liesbet Slegers.","Slegers, Liesbet","Libraries Juvenile fiction, Books and reading Juvenile fiction","Clavis,","2011."
"Physical","Horizon","BOOK","2012","1","2","Nursery crimes / Arthur Geisert.","Geisert, Arthur","Trees Fiction, Farms Juvenile fiction, Robbers and outlaws Fiction, Pigs Fiction, Thanksgiving Day Juvenile fiction","Houghton Mifflin,","2001."
"Physical","Horizon","BOOK","2012","1","5","The revenge of the baby-sat : a Calvin and Hobbes collection / by Bill Watterson.","Watterson, Bill","Calvin Fictitious character Watterson Comic books strips etc, Hobbes Fictitious character Comic books strips etc, Comic books strips etc","Andrews and McMeel,","c1991."
"Physical","Horizon","BOOK","2012","1","1","A thousand cuts / Simion Lelic [i.e., Simon Lelic].","Lelic, Simon","School shootings Fiction, Teachers Suicidal behavior Fiction, Murder Investigation Fiction, Women detectives England London Fiction, Mystery fiction","Viking,","2010."
"Physical","Horizon","SOUNDDISC","2012","1","5","The little stranger [sound recording] / Sarah Waters.","Waters, Sarah, 1966-","Physicians Fiction, Warwickshire England Fiction, Ghost stories, Horror fiction","Penguin Audio,","p2009."
"Physical","Horizon","SOUNDDISC","2012","1","1","Benefit",,"Rock music 1961 1970",,
"Physical","Horizon","BOOK","2012","1","2","Secret Six. Unhinged / Gail Simone, writer ; Nicola Scott, penciller ; Doug Hazelwood, Rodney Ramos (additonal inks on #7), inkers ; Pete Woods, artist on Origins & omens ; Javi Pina, artist on flashback sequence in #6 ; Jason Wright, colorist ; Swands .. [and others], letterers.","Simone, Gail","Superheroes Comic books strips etc, Superhero comic books strips etc, Graphic novels","DC Comics,","c2009."
"Physical","Horizon","VIDEODISC","2012","1","1","evening with Kevin Smith 2 evening harder",,"Comedians, Questions and answers, Stand up comedy, Comedy",,
"Physical","Horizon","VIDEODISC","2012","1","3","Mindcrime at the Moore",,"Rock music 2001 2010, Rock videos",,
"Physical","Horizon","BOOK","2012","1","1","Spiritual healing scientific validation of a healing revolution",,"Mental healing, Spiritual healing",,
"Physical","Horizon","BOOK","2012","1","12","Mindsight : the new science of personal transformation / Daniel J. Siegel.","Siegel, Daniel J., 1957-","Mind and body therapies, Mind and body, Mindfulness based cognitive therapy","Bantam Books,","c2010."
"Physical","Horizon","BOOK","2012","1","1","How to survive a horror movie : all the skills to dodge the kills / by Seth Grahame-Smith.","Grahame-Smith, Seth","Horror films Humor","Quirk Books ; Distributed in North America by Chronicle Books,","c2007."
"Digital","OverDrive","EBOOK","2012","1","1","Wolverine First Class, Issue 1","Andrea Di Vito","Comic and Graphic Books, Fiction","Marvel Entertainment, LLC","2010"
"Physical","Horizon","BOOK","2012","1","1","Divided in death",,"Dallas Eve Fictitious character Fiction, Police New York State New York Fiction, Policewomen Fiction, New York N Y Fiction, Mystery fiction",,
"Physical","Horizon","BOOK","2012","1","3","La corda d'oro. 10 / story & art by Yuki Kure ; [English translation & adaptation, Mai Ihara ; touch-up art & lettering, Hudson Yards].","Kure, Yuki","Conservatories of music Comic books strips etc, Fairies Comic books strips etc, High school students Japan Comic books strips etc, Graphic novels","Viz Media,","2009."
"Physical","Horizon","VIDEODISC","2012","1","2","Viking age",,"Vikings History, Civilization Viking, Viking antiquities, Educational films",,
"Physical","Horizon","VIDEODISC","2012","1","204","Water for elephants [videorecording] / Fox 2000 Pictures ; a 3 Arts Entertainment/Gil Netter/Flashpoint Entertainment production ; produced by Gil Netter, Erwin Stoff, Andrew R. Tennenbaum ; screenplay by Richard La Gravenese ; directed by Francis Lawrence.",,"Circus Drama, Depressions 1929 Drama, Circus performers Drama, Elephants Drama, Feature films, Fiction films, Video recordings for the hearing impaired","20th Century Fox Home Entertainment,","c2011."
"Physical","Horizon","BOOK","2012","1","3","Drink the bitter root : a search for justice and healing in Africa / Gary Geddes.","Geddes, Gary","Geddes Gary Travel Africa Sub Saharan, Africa Sub Saharan Description and travel, Africa Sub Saharan Social conditions 1960, Africa Sub Saharan Environmental conditions Social aspects, Justice Administration of Africa Sub Saharan, Redemption","Counterpoint,","c2011."
"Physical","Horizon","BOOK","2012","1","1","7 sekretov zhizni / Gėri Chepmen ; [per. T.O. Novikovoĭ].","Chapman, Gary D., 1938-","Love Religious aspects Christianity, Interpersonal relations Religious aspects Christianity","ĖKSMO,","2008."
"Physical","Horizon","VIDEODISC","2012","1","4","Araya [videorecording] / a film by Margot Benacerraf ; restoration by Scott MacQueen and Dennis Doros with Fotokem ; DVD produced by Adrian Rothschild.",,"Araya Venezuela Social life and customs 20th century, Araya Venezuela Economic conditions, Salt mines and mining Venezuela Araya, Documentary films","Distributed by Oscillscope,","c2011."
"Physical","Horizon","BOOK","2012","1","1","cross and the sword",,"Anza Juan Bautista de 1735 1788 Fiction",,
"Digital","OverDrive","AUDIOBOOK","2012","1","13","The Affair: Jack Reacher Series, Book 16 (unabridged) (Unabridged)","Lee Child","Fiction, Mystery, Suspense, Thriller","Books on Tape","2011"
"Physical","Horizon","SOUNDDISC","2012","1","1","Scab for treasurer? [sound recording] / Trudi Trueit.","Trueit, Trudi Strain","Politics Practical Juvenile fiction, Schools Fiction, Audiobooks","Scholastic Audiobooks,","p2011."
"Physical","Horizon","BOOK","2012","1","11","Meow said the cow / Emma Dodd.","Dodd, Emma, 1969-","Stories in rhyme Juvenile fiction, Magic Fiction, Domestic animals Juvenile fiction, Animal sounds Fiction, Humorous stories","Arthur A. Levine Books,","2011."
"Digital","OverDrive","AUDIOBOOK","2012","1","1","The Plains of Passage: Earth's Children® Series, Book 4 (unabridged) (Unabridged)","Jean M. Auel","Fiction, Literature","Brilliance Audio, Inc.","2008"
"Physical","Horizon","SOUNDDISC","2012","1","1","The five forces of wellness [sound recording] : [the ultraprevention system for living an active, age-defying, disease-free life] / Mark Hyman.","Hyman, Mark, 1959-","Medicine Preventive Popular works, Health, Physical fitness, Longevity","Nightingale-Conant Corp.,","p2005."
"Digital","Freegal","SONG","2012","1","1","Keep Talking","Pink Floyd",,,
"Physical","Horizon","SOUNDDISC","2012","1","2","The shadow world [sound recording] : [inside the global arms trade] / Andrew Feinstein.","Feinstein, Andrew, 1964-","Arms transfers, Illegal arms transfers, Defense industries","Tantor Media, Inc.,","p2011."
"Physical","Horizon","BOOK","2012","1","1","Trolls go home! / Alan MacDonald ; illustrations by Mark Beech.","MacDonald, Alan, 1958-","Trolls Juvenile fiction, Neighbors Fiction, Individuality Juvenile fiction","Bloomsbury U.S.A. Children's Books : Distributed by Holtzbrinck Publishers,","c2007."
"Physical","Horizon","SOUNDDISC","2012","1","1","Isolation drills [sound recording] / Guided By Voices.","Guided by Voices (Musical group)","Rock music 2001 2010","TVT Records,","p2001."
"Physical","Horizon","BOOK","2012","1","1","The great eight : how to be happy (even when you have every reason to be miserable) / Scott Hamilton with Ken Baker.","Hamilton, Scott, 1958-","Happiness","Thomas Nelson.,","c2008."
"Physical","Horizon","BOOK","2012","1","1","To all a good night",,"Love stories, Christmas stories",,
"Physical","Horizon","BOOK","2012","1","3","The bonne femme cookbook : simple, splendid food that French women cook every day / Wini Moranville.","Moranville, Winifred","Cooking French, Cooking France","The Harvard Common Press,","c2011."
"Physical","Horizon","SOUNDDISC","2012","1","2","Betsy-Tacy [sound recording] / Maud Hart Lovelace.","Lovelace, Maud Hart, 1892-1980","Friendship Fiction, Moving Household Juvenile fiction","Harper Children's Audio,","p2007."
"Digital","OverDrive","EBOOK","2012","1","1","Right to Counsel: A Lawyer’s Struggle to Defend a Serial Killer","James Potts","Biography & Autobiography, Nonfiction, True Crime","Sourcebooks","2008"
"Physical","Horizon","SOUNDDISC","2012","1","6","The charm of the highway strip [sound recording] / Magnetic Fields.","Magnetic Fields (Musical group)","Popular music 1991 2000","Merge Records,","[1993]"
"Physical","Horizon","BOOK","2012","1","1","Tempted / Elisabeth Naughton.","Naughton, Elisabeth","Man woman relationships Fiction, Kidnapping Fiction, Princesses Fiction, Paranormal romance stories, Romantic suspense fiction","Sourcebooks Casablanca,","c2011."
"Digital","OverDrive","EBOOK","2012","1","2","Seeking Enlightenment... Hat by Hat: A Skeptic's Guide to Religion","Nevada Barr","Biography & Autobiography, Nonfiction","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2012","1","5","This Heart of Mine: Chicago Stars Series, Book 5","Susan Elizabeth Phillips","Fiction, Humor (Fiction), Romance","HarperCollins Publishers Inc.","2010"
"Physical","Horizon","BOOK","2012","1","1","cruel sea",,"World War 1939 1945 Fiction",,
"Physical","Horizon","BOOK","2012","1","1","Stealing MySpace : the battle to control the most popular website in America / Julia Angwin.","Angwin, Julia","MySpace Firm, Internet industry United States","Random House,","c2009."
"Physical","Horizon","BOOK","2012","1","2","The big little book of magick : a Wiccan's guide to altars, candles, pendulums, and healing spells / D.J. Conway.","Conway, D. J. (Deanna J.)","Witchcraft, Magic","Crossing Press,","c2010."
"Physical","Horizon","SOUNDDISC","2012","1","1","Asian trance",,"Popular music Vietnam 2001 2010, Songs Vietnamese",,
"Physical","Horizon","BOOK","2012","1","4","The gentle art of quiltmaking : 15 projects inspired by everyday beauty / Jane Brocket.","Brocket, Jane","Quilting Patterns, Quilting","C & T Pub.,","c2010."
"Physical","Horizon","BOOK","2012","1","1","She walks in beauty / Siri Mitchell.","Mitchell, Siri L., 1969-","Debutantes Fiction, Mate selection Fiction, New York N Y Social life and customs 19th century Fiction, Love stories, Christian fiction, Historical fiction","Bethany House,","c2010."
"Digital","OverDrive","EBOOK","2012","1","4","The 200 Best Home Businesses: Easy To Start, Fun To Run, Highly Profitable","Katina Z. Jones","Business, Nonfiction","F+W Media, Inc.","2011"
"Physical","Horizon","BOOK","2012","1","2","story of diamonds",,"Diamonds Juvenile literature, Diamonds",,
"Physical","Horizon","BOOK","2012","1","1","The collected works of Paul Valéry, edited by Jackson Mathews.","Valéry, Paul, 1871-1945","Val‚ry Paul 1871 1945 Translations into English","[Princeton University Press],","[1956-[75] [v. 1, 1971]"
