"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2012","1","1","art of love",,,,
"Digital","Freegal","SONG","2012","1","1","Dolly Dawn","Harry Belafonte",,,
"Digital","Freegal","SONG","2012","1","1","The World Is Yours","Glasvegas",,,
"Digital","Freegal","SONG","2012","1","1","Not Dark Yet","Bob Dylan",,,
"Physical","Horizon","BOOK","2012","1","2","LSD",,"LSD Drug Juvenile literature, LSD Drug",,
"Physical","Horizon","BOOK","2012","1","3","read aloud handbook",,"Oral reading",,
"Digital","Freegal","SONG","2012","1","1","The First Noel","Elvis Presley",,,
"Digital","Freegal","SONG","2012","1","2","Say It Isn't So","Daryl Hall & John Oates",,,
"Digital","Freegal","SONG","2012","1","1","Love Like The Movies","The Avett Brothers",,,
"Physical","Horizon","SOUNDDISC","2012","1","1","Black market music",,"Rock music 2001 2010",,
"Digital","Freegal","SONG","2012","1","1","Prelude To A Kiss","Johnny Mathis",,,
"Digital","Freegal","SONG","2012","1","1","Please Pardon Yourself","The Avett Brothers",,,
"Physical","Horizon","SOUNDDISC","2012","1","7","Anthology",,"Rock music 1961 1970, Rock music 1971 1980",,
"Digital","Freegal","SONG","2012","1","1","The Look Of Love","Chris Botti",,,
"Digital","Freegal","SONG","2012","1","1","I Let Her Get Away","Candy Butchers",,,
"Digital","Freegal","SONG","2012","1","1","Surfing With The Alien","Joe Satriani",,,
"Physical","Horizon","BOOK","2012","1","1","Pastel school",,"Pastel drawing Technique",,
"Physical","Horizon","SOUNDDISC","2012","1","2","Trio II",,"Country music 1991 2000",,
"Digital","Freegal","SONG","2012","1","1","It's Good To Be Alive","Menasha Skulnik;Louis Gossett",,,
"Digital","Freegal","SONG","2012","1","1","I Look To You (Glee Cast Version)","Glee Cast",,,
"Physical","Horizon","BOOK","2012","1","1","needs of the many",,"Star Trek fiction, Science fiction",,
"Physical","Horizon","SOUNDDISC","2012","1","1","Rock and roll music",,"Rock music",,
"Digital","Freegal","SONG","2012","1","1","Sleepless","Beneath The Massacre",,,
"Physical","Horizon","SOUNDDISC","2012","1","2","Portrait of Cannonball",,"Jazz 1951 1960",,
"Digital","Freegal","SONG","2012","1","1","String Quartet K.589: Allegro","Emerson String Quartet",,,
"Physical","Horizon","BOOK","2012","1","1","Dawn undercover",,"Spies Fiction, England Fiction",,
"Digital","Freegal","SONG","2012","1","1","What About Your Friends","TLC",,,
"Physical","Horizon","SOUNDDISC","2012","1","2","Meet the Smithereens",,"Rock music 2001 2010",,
"Physical","Horizon","BOOK","2012","1","1","Psychosphere",,"Science fiction, Horror fiction",,
"Digital","OverDrive","EBOOK","2012","1","1","Lexie","Audrey Couloumbis","Juvenile Fiction","Random House, Inc.","2011"
"Physical","Horizon","SOUNDDISC","2012","1","1","Under cover of darkness",,"Serial murders Fiction",,
"Physical","Horizon","BOOK","2012","1","1","passion for flowers",,"Flower arrangement, Flowers",,
"Physical","Horizon","BOOK","2012","1","1","Alphabet Keeper",,"Alphabet Fiction",,
"Physical","Horizon","SOUNDDISC","2012","1","2","Berlin",,"Rock music 1971 1980",,
"Physical","Horizon","BOOK","2012","1","1","Curve the female nude now",,"Female nude in art",,
"Physical","Horizon","BOOK","2012","1","1","Nigeria",,"Nigeria Juvenile literature",,
"Physical","Horizon","SOUNDDISC","2012","1","8","Animals",,"Rock music 1971 1980",,
"Physical","Horizon","SOUNDDISC","2012","1","1","Ouzbekistan Uzbekistan",,"Music Uzbekistan",,
"Physical","Horizon","SOUNDDISC","2012","1","1","Recital",,"Operas Excerpts",,
"Digital","Freegal","SONG","2012","1","1","We Didn't See A Thing","Chet Atkins;George Jones;Ray Charles",,,
"Digital","Freegal","SONG","2012","1","1","White Light / White Heat","Lou Reed",,,
"Physical","Horizon","BOOK","2012","1","1","divine comedy Inferno",,,,
"Physical","Horizon","SOUNDDISC","2012","1","1","Back into your system",,"Rock music 2001 2010",,
"Digital","Freegal","SONG","2012","1","2","Minds Without Fear","Imogen Heap",,,
"Physical","Horizon","BOOK","2012","1","2","New adventures in beading earrings",,"Earrings, Beadwork",,
"Digital","Freegal","SONG","2012","1","1","Confessional","Jay Garner;Louis Zorich",,,
"Digital","Freegal","SONG","2012","1","1","I Will Always Love You","Whitney Houston",,,
"Physical","Horizon","VIDEODISC","2012","1","2","Refuge of the roads",,"Popular music, Music videos",,
"Physical","Horizon","BOOK","2012","1","1","Color in decoration",,"Color in interior decoration",,
"Physical","Horizon","SOUNDDISC","2012","1","1","Lost in the sound of separation",,"Christian rock music",,
"Digital","Freegal","SONG","2012","1","4","The Ballad Of Love And Hate","The Avett Brothers",,,
"Physical","Horizon","BOOK","2012","1","1","You can teach yourself mandolin",,"Mandolin Methods Self instruction",,
"Digital","Freegal","SONG","2012","1","1","Here I Am (Just When I Thought I Was Over You)","Air Supply",,,
"Physical","Horizon","BOOK","2012","1","2","holy bullet",,"John Paul II Pope 1920 2005 Assassination attempts Fiction",,
"Physical","Horizon","BOOK","2012","1","1","gospel of the flying spaghetti monster",,"Religion Humor",,
"Physical","Horizon","BOOK","2012","1","1","Catching the wind",,"Geese Fiction, Birds Fiction",,
"Physical","Horizon","BOOK","2012","1","1","Jordans silly sick day",,"Sick Fiction, Imagination Fiction",,
"Physical","Horizon","SOUNDDISC","2012","1","1","In the moment live in concert",,"Jazz vocals, Jazz 1991 2000",,
"Physical","Horizon","BOOK","2012","1","1","Who is coming",,"Monkeys Fiction, Animals Fiction, Africa Fiction",,
"Physical","Horizon","BOOK","2012","1","2","Adrian Mole diaries",,"Mole Adrian Fictitious character Fiction",,
"Physical","Horizon","BOOK","2012","1","1","Stotan",,"Swimming Training Fiction, High schools Fiction, Schools Fiction",,
"Physical","Horizon","BOOK","2012","1","1","fat flush cookbook",,"Reducing diets Recipes",,
"Physical","Horizon","BOOK","2012","1","1","Trumpet / Jackie Kay.","Kay, Jackie, 1961-",,"Pantheon Books,","1999."
"Physical","Horizon","BOOK","2012","1","2","Katie did it",,"Brothers and sisters Fiction, Behavior Fiction",,
"Physical","Horizon","BOOK","2012","1","8","Boo hoo Bird",,"Birds Fiction, Animals Fiction, Wounds and injuries Fiction",,
"Digital","Freegal","SONG","2012","1","1","Two Old Cats Like Us","Hank Williams, Jr.;Ray Charles",,,
"Physical","Horizon","BOOK","2012","1","1","Breaking your horses bad habits",,"Horses Training, Horses Behavior",,
"Physical","Horizon","BOOK","2012","1","2","Thrones dominations",,"Large type books",,
"Physical","Horizon","BOOK","2012","1","1","Desirada : roman / Maryse Condé.","Condé, Maryse",,"R. Laffont,","c1997."
"Physical","Horizon","BOOK","2012","1","1","joy of digital photography",,"Photography Digital techniques",,
"Digital","Freegal","SONG","2012","1","1","Mooore","RJD2",,,
"Digital","OverDrive","EBOOK","2012","1","1","Scandal","Carolyn Jewel","Fiction, Romance","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","SOUNDDISC","2012","1","2","Capitol years",,"Popular music 1951 1960, Popular music 1961 1970",,
"Physical","Horizon","SOUNDDISC","2012","1","1","violin sonatas",,"Sonatas Violin and piano",,
"Physical","Horizon","BOOK","2012","1","1","One thousand years of manga",,"Comic books strips etc Japan History and criticism",,
"Digital","OverDrive","EBOOK","2012","1","3","The Bridesmaid","Ruth Rendell","Fiction, Mystery","Open Road Integrated Media","2011"
"Digital","OverDrive","AUDIOBOOK","2012","1","2","Leaves of Grass (Unabridged)","Walt Whitman","Fiction, Poetry","Tantor Media, Inc","2011"
"Digital","OverDrive","AUDIOBOOK","2012","1","2","Hot Shot (Unabridged)","Susan Elizabeth Phillips","Fiction, Literature","Books on Tape","2010"
"Digital","OverDrive","EBOOK","2012","1","3","Cry Wolf: Bayou Breaux Series, Book 1","Tami Hoag","Fiction, Suspense","Random House, Inc.","2009"
"Physical","Horizon","BOOK","2012","1","1","Andrew Henrys meadow",,"Inventions Fiction, Meadows Fiction, Missing children Fiction",,
"Digital","Freegal","SONG","2012","1","1","The Long Way Around","Dixie Chicks",,,
"Physical","Horizon","BOOK","2012","1","1","Inside life behind bars in America",,"Prisons United States, Imprisonment United States",,
"Digital","OverDrive","EBOOK","2012","1","1","The Wisdom Paradox: How Your Mind Can Grow Stronger As Your Brain Grows Older","Elkhonon Goldberg","Health & Fitness, Nonfiction, Science","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","SOUNDDISC","2012","1","1","For alto [sound recording] / Anthony Braxton.","Braxton, Anthony","Saxophone music Jazz, Jazz 1961 1970","Delmark,","p2000."
"Physical","Horizon","BOOK","2012","1","1","Woman of Rome : a life of Elsa Morante / Lily Tuck.","Tuck, Lily, 1938-","Morante Elsa approximately 1912 1985, Authors Italian 20th century Biography, Women authors Italian 20th century Biography","HarperCollins,","c2008."
"Digital","OverDrive","EBOOK","2012","1","1","Marvel Adventures Spider-Man, Issue 46","Roberto Castro","Comic and Graphic Books, Fiction","Marvel Entertainment, LLC","2010"
